,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,3614.0,3874.0,4602.0,5405.0,6579.0,7089.0,8548.0,9354.0
Expenses,,3702.0,3376.0,3550.0,3591.0,3793.0,3728.0,4351.0,4463.0
Operating Profit,,-89.0,499.0,1052.0,1814.0,2786.0,3361.0,4197.0,4890.0
OPM %,,-2.5,13.0,23.0,34.0,42.0,47.0,49.0,52.0
Other Income,,222.0,-2158.0,-240.0,2040.0,140.0,-54.0,394.0,190.0
Interest,,248.0,526.0,517.0,572.0,639.0,644.0,688.0,601.0
Depreciation,,1009.0,1250.0,1285.0,1441.0,1553.0,1739.0,2094.0,2213.0
Profit before tax,,-1123.0,-3435.0,-989.0,1841.0,734.0,923.0,1809.0,2266.0
Tax %,,-36.0,-21.0,5.0,9.0,25.0,45.0,17.0,24.0
Net Profit,,-722.0,-2716.0,-1034.0,1675.0,549.0,504.0,1494.0,1733.0
EPS in Rs,,-28.88,-108.66,-41.36,66.98,21.97,10.09,29.87,34.66
Dividend Payout %,,0.0,0.0,0.0,0.0,14.0,40.0,33.0,81.0
Sales Growth %,Sales,,7.21,18.8,17.45,21.72,7.75,20.58,9.43
Manufacturing Cost %,Expenses,88.24,79.84,69.77,59.04,48.68,32.97,31.44,31.59
Employee Cost %,Expenses,1.87,1.59,1.66,1.41,1.37,1.49,1.57,1.25
Other Cost %,Expenses,12.35,5.7,5.7,5.99,7.61,18.13,17.89,14.87
Exceptional items,Other Income,104.0,-2187.0,-342.0,1951.0,0.0,-261.0,227.0,27.0
Other income normal,Other Income,118.0,30.0,102.0,89.0,140.0,207.0,167.0,163.0
Exceptional items AT,Net Profit,104.0,-2187.0,-326.0,1782.0,0.0,-116.0,290.0,34.0
Profit excl Excep,Net Profit,-826.0,-529.0,-708.0,-107.0,549.0,620.0,1203.0,1700.0
Profit for PE,Net Profit,-826.0,-529.0,-708.0,-107.0,549.0,620.0,1203.0,1700.0
Profit for EPS,Net Profit,-722.0,-2716.0,-1034.0,1675.0,549.0,504.0,1494.0,1733.0
Profit Growth %,Net Profit,,36.0,-34.0,85.0,612.0,13.0,94.0,41.0
