,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,4832.0,5398.0,5993.0,5900.0,6197.0,6668.0,6830.0,7919.0,8034.0
Expenses,,4271.0,4755.0,5319.0,5379.0,5781.0,6297.0,6427.0,7369.0,7553.0
Operating Profit,,561.0,642.0,673.0,521.0,416.0,371.0,403.0,550.0,481.0
OPM %,,12.0,12.0,11.0,9.0,7.0,6.0,6.0,7.0,6.0
Other Income,,86.0,107.0,143.0,106.0,398.0,127.0,145.0,198.0,170.0
Interest,,4.0,9.0,20.0,15.0,16.0,15.0,30.0,45.0,45.0
Depreciation,,102.0,111.0,129.0,142.0,147.0,185.0,210.0,213.0,209.0
Profit before tax,,541.0,629.0,667.0,470.0,650.0,297.0,307.0,490.0,397.0
Tax %,,35.0,35.0,26.0,25.0,13.0,25.0,27.0,26.0,26.0
Net Profit,,351.0,410.0,490.0,352.0,567.0,224.0,224.0,363.0,295.0
EPS in Rs,,27.64,32.3,38.64,27.73,44.64,17.26,17.11,28.3,23.15
Dividend Payout %,,14.0,15.0,13.0,18.0,11.0,29.0,29.0,18.0,22.0
Sales Growth %,Sales,,11.71,11.02,-1.55,5.03,7.6,2.43,15.95,1.45
Material Cost %,Expenses,62.0,63.0,61.0,63.0,68.0,69.0,67.0,66.0,67.0
Manufacturing Cost %,Expenses,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,-0.0
Employee Cost %,Expenses,9.0,9.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0
Other Cost %,Expenses,16.0,15.0,16.0,16.0,14.0,14.0,15.0,14.0,17.0
Exceptional items,Other Income,-1.0,1.0,1.0,-2.0,325.0,-0.0,-19.0,8.0,-29.0
Other income normal,Other Income,87.0,107.0,141.0,108.0,73.0,127.0,164.0,190.0,199.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,-1.0,-5.0,-7.0,-4.0,-2.0
Exceptional items AT,Net Profit,-0.0,0.0,1.0,-1.0,280.0,-0.0,-13.0,5.0,-21.0
Profit excl Excep,Net Profit,351.0,409.0,489.0,353.0,287.0,224.0,237.0,357.0,316.0
Profit for PE,Net Profit,351.0,409.0,489.0,353.0,287.0,219.0,229.0,354.0,314.0
Profit for EPS,Net Profit,351.0,410.0,490.0,352.0,566.0,219.0,217.0,359.0,294.0
Profit Growth %,Net Profit,,17.0,20.0,-28.0,-19.0,-24.0,5.0,54.0,-11.0
