,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,867.0,119.0,176.0,297.0,427.0,652.0
Expenses,,1066.0,350.0,407.0,455.0,333.0,485.0
Operating Profit,,-200.0,-231.0,-232.0,-158.0,93.0,167.0
OPM %,,-23.0,-194.0,-132.0,-53.0,22.0,26.0
Other Income,,26.0,-17.0,-34.0,-7.0,-308.0,59.0
Interest,,57.0,21.0,4.0,3.0,4.0,5.0
Depreciation,,11.0,15.0,20.0,25.0,34.0,53.0
Profit before tax,,-241.0,-284.0,-290.0,-194.0,-253.0,167.0
Tax %,,0.0,0.0,0.0,0.0,-97.0,4.0
Net Profit,,-241.0,-285.0,-290.0,-194.0,-9.0,160.0
EPS in Rs,,-23904.95,-28174.26,-28762.38,-19202.97,-0.49,8.82
Dividend Payout %,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Sales Growth %,Sales,,-86.0,47.0,69.0,44.0,53.0
Manufacturing Cost %,Expenses,0.07,1.74,1.91,34.12,28.81,0.0
Employee Cost %,Expenses,14.0,181.08,124.97,96.64,34.46,24.57
Other Cost %,Expenses,108.95,110.76,104.97,22.37,14.82,49.86
Exceptional items,Other Income,0.0,-52.0,-51.0,-25.0,-342.0,-4.0
Other income normal,Other Income,26.0,34.0,16.0,17.0,34.0,63.0
Exceptional items AT,Net Profit,0.0,3.0,3.0,2.0,-375.0,-3.0
Profit excl Excep,Net Profit,-241.0,-287.0,-294.0,-196.0,366.0,164.0
Profit for PE,Net Profit,-241.0,-287.0,-294.0,-196.0,366.0,164.0
Profit for EPS,Net Profit,-241.0,-285.0,-290.0,-194.0,-9.0,160.0
Profit Growth %,Net Profit,,-19.0,-2.0,33.0,287.0,-55.0
