,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,654.0,405.0,684.0,1212.0,1537.0,1913.0,2326.0
Expenses,,578.0,380.0,614.0,1025.0,1264.0,1564.0,1924.0
Operating Profit,,76.0,25.0,70.0,187.0,273.0,349.0,403.0
OPM %,,12.0,6.0,10.0,15.0,18.0,18.0,17.0
Other Income,,1.0,5.0,3.0,5.0,10.0,22.0,19.0
Interest,,4.0,7.0,10.0,12.0,17.0,15.0,11.0
Depreciation,,25.0,28.0,38.0,41.0,51.0,69.0,88.0
Profit before tax,,48.0,-5.0,24.0,139.0,214.0,287.0,322.0
Tax %,,21.0,-17.0,29.0,26.0,26.0,26.0,26.0
Net Profit,,38.0,-4.0,17.0,103.0,160.0,214.0,240.0
EPS in Rs,,967.52,-184.16,385.5,2572.08,25.23,33.34,37.93
Dividend Payout %,,0.0,0.0,39.0,10.0,10.0,9.0,10.0
Sales Growth %,Sales,,-38.11,68.89,77.28,26.84,24.43,21.63
Material Cost %,Expenses,59.0,61.0,63.0,63.0,58.0,56.0,56.0
Manufacturing Cost %,Expenses,7.0,7.0,5.0,5.0,5.0,5.0,0.0
Employee Cost %,Expenses,15.0,17.0,15.0,12.0,14.0,14.0,14.0
Other Cost %,Expenses,8.0,9.0,7.0,5.0,5.0,6.0,12.0
Exceptional items,Other Income,0.0,3.04,0.04,0.12,0.12,-0.3,0.0
Other income normal,Other Income,0.63,2.34,2.58,4.5,10.01,22.6,18.58
Minority share,Net Profit,-2.0,-3.0,-3.0,-7.0,-7.0,-11.0,-9.0
Exceptional items AT,Net Profit,0.0,3.0,0.0,0.0,0.0,-0.0,0.0
Profit excl Excep,Net Profit,38.0,-7.0,17.0,103.0,160.0,214.0,240.0
Profit for PE,Net Profit,36.0,-10.0,14.0,96.0,153.0,203.0,230.0
Profit for EPS,Net Profit,36.0,-7.0,14.0,96.0,153.0,202.0,230.0
Profit Growth %,Net Profit,,-127.0,245.0,568.0,60.0,32.0,14.0
