,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,0.0,1581.0,3909.0,4802.0,6643.0,10885.0,12524.0,13871.0,15905.0,18870.0,21948.0
Interest,,0.0,649.0,1505.0,1770.0,2148.0,4562.0,4961.0,5157.0,6645.0,8551.0,10458.0
Expenses,,6.0,633.0,1044.0,1597.0,2467.0,3739.0,6534.0,11298.0,8693.0,9310.0,10555.0
Financing Profit,,-6.0,299.0,1360.0,1436.0,2028.0,2584.0,1029.0,-2584.0,567.0,1009.0,936.0
Financing Margin %,,19.0,35.0,30.0,31.0,24.0,8.0,-19.0,4.0,5.0,4.0,-3.0
Other Income,,8.0,150.0,411.0,706.0,1063.0,1549.0,2022.0,2823.0,2469.0,2171.0,2967.0
Depreciation,,0.0,36.0,67.0,86.0,78.0,80.0,103.0,110.0,143.0,238.0,279.0
Profit before tax,,2.0,414.0,1704.0,2056.0,3013.0,4053.0,2949.0,129.0,2893.0,2943.0,3623.0
Tax %,,75.0,33.0,35.0,35.0,35.0,25.0,25.0,2.0,24.0,24.0,24.0
Net Profit,,1.0,275.0,1112.0,1346.0,1952.0,3024.0,2205.0,126.0,2195.0,2230.0,2745.0
EPS in Rs,,0.01,2.51,10.15,11.28,16.36,18.78,13.69,0.78,13.62,13.84,17.04
Dividend Payout %,,0.0,0.0,0.0,9.0,18.0,0.0,7.0,0.0,11.0,11.0,9.0
Manufacturing Cost %,Expenses,0.01,0.02,0.03,0.04,0.09,0.08,0.07,0.41,0.43,0.46,0.62
Employee Cost %,Expenses,20.59,13.98,14.35,15.22,12.58,13.32,15.41,17.11,18.81,19.91,20.75
Other Cost %,Expenses,19.46,12.7,18.87,21.88,21.68,38.77,65.97,37.13,30.1,27.72,31.77
Exceptional items,Other Income,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,-0.0,-1.0
Other income normal,Other Income,150.0,411.0,706.0,1063.0,1549.0,2021.0,2822.0,2469.0,2171.0,2967.0,2735.0
Exceptional items AT,Net Profit,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-0.0,0.0,-0.0,-1.0
Profit excl Excep,Net Profit,275.0,1112.0,1346.0,1951.0,3023.0,2205.0,129.0,2195.0,2229.0,2745.0,1224.0
Profit for PE,Net Profit,275.0,1112.0,1346.0,1951.0,3023.0,2205.0,129.0,2195.0,2229.0,2745.0,1224.0
Profit for EPS,Net Profit,275.0,1112.0,1346.0,1952.0,3024.0,2205.0,126.0,2195.0,2230.0,2745.0,1224.0
Profit Growth %,Net Profit,47357.0,304.0,21.0,45.0,55.0,-27.0,-94.0,1607.0,2.0,23.0,-55.0
