,parent_line_item,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Sales,,6867.0,7251.0,8232.0,9686.0
Expenses,,5571.0,5929.0,6787.0,7920.0
Operating Profit,,1296.0,1322.0,1446.0,1766.0
OPM %,,19.0,18.0,18.0,18.0
Other Income,,92.0,120.0,118.0,145.0
Interest,,5.0,5.0,5.0,5.0
Depreciation,,206.0,223.0,282.0,344.0
Profit before tax,,1177.0,1214.0,1278.0,1562.0
Tax %,,25.0,26.0,27.0,26.0
Net Profit,,879.0,899.0,939.0,1150.0
EPS in Rs,,56.25,57.52,60.07,73.6
Dividend Payout %,,43.0,45.0,47.0,48.0
Sales Growth %,Sales,,5.58,13.54,17.66
Material Cost %,Expenses,62.0,62.0,63.0,61.0
Manufacturing Cost %,Expenses,6.0,6.0,6.0,7.0
Employee Cost %,Expenses,6.0,6.0,7.0,6.0
Other Cost %,Expenses,7.0,7.0,7.0,8.0
Exceptional items,Other Income,14.0,-2.0,0.0,-3.0
Other income normal,Other Income,78.0,122.0,118.0,148.0
Exceptional items AT,Net Profit,11.0,-2.0,0.0,-2.0
Profit excl Excep,Net Profit,868.0,901.0,939.0,1153.0
Profit for PE,Net Profit,868.0,901.0,939.0,1153.0
Profit for EPS,Net Profit,879.0,899.0,939.0,1150.0
Profit Growth %,Net Profit,,4.0,4.0,23.0
