,parent_line_item,Mar 2024,Mar 2025,Mar 2026
Sales,,1558.0,1463.0,1441.0
Expenses,,1267.0,1102.0,1062.0
Operating Profit,,292.0,361.0,380.0
OPM %,,19.0,25.0,26.0
Other Income,,11.0,9.0,14.0
Interest,,34.0,34.0,21.0
Depreciation,,36.0,41.0,44.0
Profit before tax,,233.0,295.0,329.0
Tax %,,27.0,25.0,27.0
Net Profit,,169.0,222.0,240.0
EPS in Rs,,114.68,15.06,14.83
Dividend Payout %,,5.0,8.0,17.0
Sales Growth %,Sales,,-6.1,-1.5
Material Cost %,Expenses,58.0,53.0,54.0
Manufacturing Cost %,Expenses,8.0,8.0,0.0
Employee Cost %,Expenses,4.0,4.0,5.0
Other Cost %,Expenses,11.0,10.0,15.0
Exceptional items,Other Income,0.16,-1.17,-0.25
Other income normal,Other Income,11.26,10.33,14.58
Minority share,Net Profit,0.0,0.0,0.0
Exceptional items AT,Net Profit,0.0,-1.0,-0.0
Profit excl Excep,Net Profit,169.0,223.0,240.0
Profit for PE,Net Profit,169.0,223.0,240.0
Profit for EPS,Net Profit,169.0,222.0,240.0
Profit Growth %,Net Profit,,32.0,8.0
