,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,6475.0,6232.0,6222.0,7220.0,8299.0,9014.0,8918.0
Interest,,4444.0,4049.0,3731.0,4035.0,5000.0,5703.0,5799.0
Expenses,,2706.0,2993.0,2677.0,2651.0,2983.0,2854.0,2863.0
Financing Profit,,-676.0,-810.0,-186.0,534.0,316.0,457.0,255.0
Financing Margin %,,-10.0,-13.0,-3.0,7.0,4.0,5.0,3.0
Other Income,,1262.0,1495.0,954.0,993.0,1319.0,1270.0,1403.0
Depreciation,,64.0,74.0,74.0,86.0,72.0,85.0,0.0
Profit before tax,,522.0,612.0,694.0,1440.0,1563.0,1641.0,1658.0
Tax %,,17.0,21.0,27.0,18.0,16.0,22.0,21.0
Net Profit,,432.0,482.0,508.0,1180.0,1307.0,1273.0,1311.0
EPS in Rs,,13.89,15.52,16.33,37.77,34.64,33.68,34.66
Dividend Payout %,,0.0,12.0,24.0,13.0,16.0,15.0,0.0
Manufacturing Cost %,Expenses,0.7,0.82,0.93,0.98,1.21,1.62,0.0
Employee Cost %,Expenses,13.89,14.68,16.38,14.93,16.7,17.26,14.67
Other Cost %,Expenses,27.21,32.52,25.72,20.79,18.03,12.78,17.44
Exceptional items,Other Income,-1.0,-2.0,-1.0,-0.0,0.0,-0.0,0.0
Other income normal,Other Income,1262.0,1497.0,955.0,993.0,1319.0,1270.0,1403.0
Exceptional items AT,Net Profit,-0.0,-1.0,-1.0,-0.0,0.0,-0.0,0.0
Profit excl Excep,Net Profit,432.0,484.0,509.0,1180.0,1306.0,1273.0,1311.0
Profit for PE,Net Profit,432.0,484.0,509.0,1180.0,1306.0,1273.0,1311.0
Profit for EPS,Net Profit,432.0,482.0,508.0,1180.0,1307.0,1273.0,1311.0
Profit Growth %,Net Profit,,12.0,5.0,132.0,11.0,-3.0,3.0
