,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,5489.0,7679.0,8482.0,7604.0,6196.0,6527.0,7053.0,7685.0,8494.0
Interest,,3537.0,5167.0,5875.0,5100.0,4065.0,3900.0,4263.0,4552.0,5001.0
Expenses,,693.0,750.0,1737.0,1254.0,998.0,1217.0,789.0,598.0,467.0
Financing Profit,,1258.0,1762.0,870.0,1250.0,1133.0,1410.0,2001.0,2535.0,3027.0
Financing Margin %,,23.0,23.0,10.0,16.0,18.0,22.0,28.0,33.0,36.0
Other Income,,0.0,4.0,7.0,16.0,5.0,2.0,4.0,6.0,10.0
Depreciation,,24.0,31.0,66.0,59.0,53.0,51.0,51.0,56.0,66.0
Profit before tax,,1235.0,1734.0,811.0,1207.0,1084.0,1361.0,1954.0,2486.0,2971.0
Tax %,,32.0,31.0,20.0,23.0,23.0,23.0,23.0,22.0,23.0
Net Profit,,841.0,1192.0,646.0,930.0,836.0,1046.0,1508.0,1936.0,2291.0
EPS in Rs,,32.86,46.29,25.0,35.96,32.28,40.31,58.06,74.49,87.94
Dividend Payout %,,18.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0
Manufacturing Cost %,Expenses,1.68,0.88,0.26,0.37,0.58,0.69,1.23,1.24,1.2
Employee Cost %,Expenses,2.65,3.98,2.76,2.8,3.53,4.12,4.83,5.53,5.79
Other Cost %,Expenses,8.3,4.91,17.46,13.33,12.0,13.84,5.12,1.02,-1.49
Exceptional items,Other Income,-0.17,-0.12,-0.61,-3.71,-0.19,-0.19,-0.25,0.0,-0.61
Other income normal,Other Income,0.63,3.9,7.71,20.16,4.8,2.33,4.45,6.5,11.01
Exceptional items AT,Net Profit,-0.0,-0.0,-0.0,-2.0,-0.0,-0.0,-0.0,0.0,-0.0
Profit excl Excep,Net Profit,841.0,1192.0,647.0,932.0,837.0,1046.0,1508.0,1936.0,2292.0
Profit for PE,Net Profit,841.0,1192.0,647.0,932.0,837.0,1046.0,1508.0,1936.0,2292.0
Profit for EPS,Net Profit,841.0,1192.0,646.0,930.0,836.0,1046.0,1508.0,1936.0,2291.0
Profit Growth %,Net Profit,,42.0,-46.0,44.0,-10.0,25.0,44.0,28.0,18.0
