rank,symbol,trailing_month
1,RELIANCE,2020-05
2,HDFCBANK,2020-05
3,TCS,2020-05
4,HINDUNILVR,2020-05
5,BHARTIARTL,2020-05
6,INFY,2020-05
7,ITC,2020-05
8,KOTAKBANK,2020-05
8,HDFC,2020-05
9,ICICIBANK,2020-05
10,MARUTI,2020-05
11,NESTLEIND,2020-05
12,ASIANPAINT,2020-05
13,HCLTECH,2020-05
14,DMART,2020-05
15,POWERGRID,2020-05
16,SBIN,2020-05
17,LT,2020-05
18,BAJFINANCE,2020-05
19,AXISBANK,2020-05
20,IOC,2020-05
21,SUNPHARMA,2020-05
22,ULTRACEMCO,2020-05
23,HDFCLIFE,2020-05
24,WIPRO,2020-05
25,ONGC,2020-05
26,NTPC,2020-05
27,COALINDIA,2020-05
28,DABUR,2020-05
29,SRTRANSFIN,2020-05
29,BRITANNIA,2020-05
30,TITAN,2020-05
31,SBILIFE,2020-05
32,BAJAJ-AUTO,2020-05
33,SHREECEM,2020-05
34,PIDILITIND,2020-05
35,BPCL,2020-05
36,HINDZINC,2020-05
37,BAJAJFINSV,2020-05
38,ADANIPORTS,2020-05
39,DRREDDY,2020-05
40,GODREJCP,2020-05
41,TTKPRESTIG,2020-05
42,ICICIGI,2020-05
43,DIVISLAB,2020-05
44,YESBANK,2020-05
45,GAIL,2020-05
46,BERGEPAINT,2020-05
47,ICICIPRULI,2020-05
48,M&M,2020-05
49,HDFCAMC,2020-05
50,CIPLA,2020-05
51,INFRATEL,2020-05
51,TECHM,2020-05
53,PVR,2020-05
53,BEL,2020-05
54,HEROMOTOCO,2020-05
55,EICHERMOT,2020-05
56,JSWSTEEL,2020-05
57,MARICO,2020-05
58,AUROPHARMA,2020-05
59,MCDOWELL-N,2020-05
60,BIOCON,2020-05
61,VBL,2020-05
62,TORNTPHARM,2020-05
63,LUPIN,2020-05
63,MOTHERSUMI,2020-05
64,ADANIGREEN,2020-05
65,GRASIM,2020-05
66,SIEMENS,2020-05
67,AMBUJACEM,2020-05
68,IPCALAB,2020-05
69,PETRONET,2020-05
70,COLPAL,2020-05
71,DLF,2020-05
71,CADILAHC,2020-05
72,INDIGO,2020-05
73,TATASTEEL,2020-05
74,ABBOTINDIA,2020-05
75,BANDHANBNK,2020-05
76,TATACONSUM,2020-05
77,NAUKRI,2020-05
78,MUTHOOTFIN,2020-05
79,VEDL,2020-05
80,IGL,2020-05
81,PGHH,2020-05
82,IDEA,2020-05
83,HINDALCO,2020-05
84,HAVELLS,2020-05
85,INDUSINDBK,2020-05
86,NIITTECH,2020-05
86,UPL,2020-05
87,PNB,2020-05
88,KANSAINER,2020-05
89,TATAMOTORS,2020-05
90,BOSCHLTD,2020-05
91,HINDPETRO,2020-05
92,ALKEM,2020-05
93,UBL,2020-05
94,MRF,2020-05
95,PFC,2020-05
96,WHIRLPOOL,2020-05
97,GICRE,2020-05
98,BAYERCROP,2020-05
99,HONAUT,2020-05
100,ACC,2020-05
101,NMDC,2020-05
102,ASTRAL,2020-05
103,PIIND,2020-05
104,RECLTD,2020-05
105,GLAXO,2020-05
106,AMARAJABAT,2020-05
106,CONCOR,2020-05
107,IRCTC,2020-05
108,BAJAJHLDNG,2020-05
109,IDBI,2020-05
110,JUBLFOOD,2020-05
111,PEL,2020-05
112,OFSS,2020-05
113,PAGEIND,2020-05
114,BALKRISIND,2020-05
115,SRF,2020-05
116,3MINDIA,2020-05
117,MINDTREE,2020-05
117,BANKBARODA,2020-05
118,NIACL,2020-05
119,NHPC,2020-05
120,AJANTPHARM,2020-05
120,EQUITAS,2020-05
121,APOLLOHOSP,2020-05
122,GODREJPROP,2020-05
123,COROMANDEL,2020-05
124,HAL,2020-05
125,PFIZER,2020-05
126,SANOFI,2020-05
127,AARTIIND,2020-05
128,ZEEL,2020-05
129,UNIONBANK,2020-05
130,M&MFIN,2020-05
131,APLLTD,2020-05
132,GMMPFAUDLR,2020-05
133,BATAINDIA,2020-05
134,ADANIENT,2020-05
135,RELAXO,2020-05
136,TRENT,2020-05
137,MFSL,2020-05
138,GUJGASLTD,2020-05
139,MPHASIS,2020-05
140,NAM-INDIA,2020-05
141,TVSMOTOR,2020-05
142,VOLTAS,2020-05
143,ABB,2020-05
144,GILLETTE,2020-05
145,AIAENG,2020-05
146,IDFCFIRSTB,2020-05
147,TORNTPOWER,2020-05
148,SFL,2020-05
149,CANBK,2020-05
150,BHARATFORG,2020-05
151,SUNTV,2020-05
152,IEX,2020-05
153,RAJESHEXPO,2020-05
154,CROMPTON,2020-05
155,SYNGENE,2020-05
156,BANKINDIA,2020-05
157,RAMCOCEM,2020-05
158,SUNDARMFIN,2020-05
159,INFIBEAM,2020-05
160,ADANIPOWER,2020-05
161,EXIDEIND,2020-05
162,IOB,2020-05
163,TATACOMM,2020-05
164,L&TFH,2020-05
165,ATUL,2020-05
166,ADANIGAS,2020-05
166,LICHSGFIN,2020-05
167,UCOBANK,2020-05
168,AUBANK,2020-05
169,SUMICHEM,2020-05
170,SUPREMEIND,2020-05
171,LALPATHLAB,2020-05
172,ASHOKLEY,2020-05
173,SAIL,2020-05
174,JINDALSTEL,2020-05
175,LTTS,2020-05
176,ISEC,2020-05
177,LTI,2020-05
177,ABCAPITAL,2020-05
178,CHOLAFIN,2020-05
179,TATAPOWER,2020-05
180,HATSUN,2020-05
181,CENTRALBK,2020-05
182,OBEROIRLTY,2020-05
183,GMRINFRA,2020-05
184,CASTROLIND,2020-05
185,ABFRL,2020-05
186,GSPL,2020-05
187,FEDERALBNK,2020-05
188,INDHOTEL,2020-05
189,GODREJIND,2020-05
190,MANAPPURAM,2020-05
191,NATCOPHARM,2020-05
192,INOXLEISUR,2020-05
192,VINATIORGA,2020-05
193,CUMMINSIND,2020-05
194,DALBHARAT,2020-05
195,ENDURANCE,2020-05
196,POLYCAB,2020-05
197,CRISIL,2020-05
198,BLUESTARCO,2020-05
199,CUB,2020-05
200,STRTECH,2020-05
200,GLENMARK,2020-05
201,SCHAEFFLER,2020-05
202,ESCORTS,2020-05
203,BHEL,2020-05
204,MGL,2020-05
204,HEXAWARE,2020-05
205,MASFIN,2020-05
206,PHOENIXLTD,2020-05
207,OIL,2020-05
208,JKCEMENT,2020-05
208,SPICEJET,2020-05
209,AARTIDRUGS,2020-05
210,PSB,2020-05
212,FORTIS,2020-05
213,AKZOINDIA,2020-05
214,EMAMILTD,2020-05
215,THERMAX,2020-05
216,SJVN,2020-05
217,AAVAS,2020-05
218,SOLARINDS,2020-05
219,ZYDUSWELL,2020-05
221,ITI,2020-05
222,TATACHEM,2020-05
223,NAVINFLUOR,2020-05
224,JUBILANT,2020-05
224,MOTILALOFS,2020-05
225,VGUARD,2020-05
226,ASTRAZEN,2020-05
227,INDIAMART,2020-05
228,CESC,2020-05
229,RBLBANK,2020-05
230,GODREJAGRO,2020-05
231,SKFINDIA,2020-05
232,TIINDIA,2020-05
233,METROPOLIS,2020-05
234,FRETAIL,2020-05
234,PGHL,2020-05
235,ERIS,2020-05
236,DEEPAKNTR,2020-05
237,MCX,2020-05
238,ALLCARGO,2020-05
239,JCHAC,2020-05
240,JSWENERGY,2020-05
240,KALPATPOWR,2020-05
241,SUNDRMFAST,2020-05
242,TIMKEN,2020-05
243,BBTC,2020-05
244,SYMPHONY,2020-05
245,PRESTIGE,2020-05
246,CREDITACC,2020-05
247,APOLLOTYRE,2020-05
248,AEGISCHEM,2020-05
249,RATNAMANI,2020-05
250,JMFINANCIL,2020-05
251,MAHABANK,2020-05
253,TIDEWATER,2020-05
254,IBULHSGFIN,2020-05
255,FINEORG,2020-05
256,COCHINSHIP,2020-05
257,INDIANB,2020-05
258,GRINDWELL,2020-05
259,DIXON,2020-05
260,NLCINDIA,2020-05
261,KNRCON,2020-05
262,AVANTIFEED,2020-05
263,SIS,2020-05
264,NH,2020-05
265,HNDFDS,2020-05
266,RITES,2020-05
267,KAJARIACER,2020-05
268,CHAMBLFERT,2020-05
269,NATIONALUM,2020-05
270,JBCHEPHARM,2020-05
271,FINPIPE,2020-05
272,UJJIVANSFB,2020-05
273,GODFRYPHLP,2020-05
274,BSE,2020-05
275,KEC,2020-05
276,LAURUSLABS,2020-05
277,MRPL,2020-05
278,VSTIND,2020-05
279,GALAXYSURF,2020-05
280,TATAELXSI,2020-05
281,BLUEDART,2020-05
282,BASF,2020-05
283,CHOLAHLDNG,2020-05
284,HUDCO,2020-05
285,WESTLIFE,2020-05
286,MINDAIND,2020-05
286,PNBHOUSING,2020-05
287,ASTERDM,2020-05
288,SPARC,2020-05
289,CUPID,2020-05
290,RADICO,2020-05
291,KKCL,2020-05
292,ADANITRANS,2020-05
292,EDELWEISS,2020-05
293,DCMSHRIRAM,2020-05
294,AFFLE,2020-05
295,BDL,2020-05
296,LINDEINDIA,2020-05
297,KRBL,2020-05
298,KIOCL,2020-05
298,IBVENTURES,2020-05
299,CARBORUNIV,2020-05
300,APLAPOLLO,2020-05
300,WABCOINDIA,2020-05
301,ELGIEQUIP,2020-05
302,AMBER,2020-05
303,BAJAJELEC,2020-05
304,HATHWAY,2020-05
305,GRANULES,2020-05
306,EIHOTEL,2020-05
307,RALLIS,2020-05
308,ALKYLAMINE,2020-05
309,PERSISTENT,2020-05
310,FDC,2020-05
311,IRCON,2020-05
312,BIRLACORPN,2020-05
313,ASAHIINDIA,2020-05
314,INDIACEM,2020-05
315,JYOTHYLAB,2020-05
316,SUZLON,2020-05
317,DBL,2020-05
318,VTL,2020-05
319,MIDHANI,2020-05
320,HEIDELBERG,2020-05
321,CANFINHOME,2020-05
322,TATAINVEST,2020-05
323,STAR,2020-05
324,IRB,2020-05
325,VAIBHAVGBL,2020-05
326,ORIENTELEC,2020-05
327,GRAPHITE,2020-05
328,ENGINERSIN,2020-05
329,TV18BRDCST,2020-05
330,RVNL,2020-05
331,EIDPARRY,2020-05
332,INDOSTAR,2020-05
334,SPANDANA,2020-05
335,SHILPAMED,2020-05
336,REDINGTON,2020-05
337,MHRIL,2020-05
338,SWSOLAR,2020-05
339,JUSTDIAL,2020-05
339,MEGH,2020-05
340,CEATLTD,2020-05
341,QUESS,2020-05
342,FINCABLES,2020-05
343,OMAXE,2020-05
344,FLUOROCHEM,2020-05
345,CENTURYTEX,2020-05
