symbol,status,days,note
360ONE,ok,895,
3IINFOTECH,ok,496,
3MINDIA,ok,1795,
5PAISA,ok,1736,
AADHARHFC,ok,576,
AARTIDRUGS,ok,1795,
AARTIIND,ok,1785,
AARTIPHARM,ok,881,
AARTISURF,ok,1283,
AAVAS,ok,1795,
ABB,ok,1785,
ABBOTINDIA,ok,1795,
ABCAPITAL,ok,1793,
ABDL,ok,544,
ABFRL,ok,1795,
ABLBL,ok,294,
ABREL,ok,475,
ABSLAMC,ok,1214,
ACC,ok,1795,
ACCELYA,ok,1795,
ACCURACY,ok,1062,
ACE,ok,1795,
ACI,ok,939,
ACMESOLAR,ok,451,
ACRYSIL,ok,456,
ACUTAAS,ok,319,
ADANIENSOL,ok,751,
ADANIENT,ok,1795,
ADANIGAS,ok,398,
ADANIGREEN,ok,1730,
ADANIPORTS,ok,1795,
ADANIPOWER,ok,1592,
ADANITRANS,ok,876,
ADFFOODS,ok,1795,
ADVENZYMES,ok,1795,
AEGISCHEM,ok,1235,
AEGISLOG,ok,560,
AEGISVOPAK,ok,319,
AEQUS,ok,187,
AEROFLEX,ok,746,
AETHER,ok,1054,
AFCONS,ok,458,
AFFLE,ok,1630,
AGARWALEYE,ok,395,
AGCNET,ok,330,
AGI,ok,1071,
AHLUCONT,ok,1795,
AIAENG,ok,1795,
AIIL,ok,591,
AJANTPHARM,ok,1795,
AJAXENGG,ok,386,
AKSHAR,ok,502,
AKUMS,ok,520,
AKZOINDIA,ok,1690,
ALEMBICLTD,ok,1785,
ALICON,ok,1795,
ALIVUS,ok,406,
ALKEM,ok,1795,
ALKYLAMINE,ok,1795,
ALLCARGO,ok,1775,
ALOKINDS,ok,1363,
AMAGI,ok,159,
AMARAJABAT,ok,1087,
AMBER,ok,1795,
AMBUJACEM,ok,1795,
AMIORG,ok,914,
AMRUTANJAN,ok,1795,
ANANDRATHI,ok,1171,
ANANTRAJ,ok,1689,
ANDHRAPAP,ok,1609,
ANDHRSUGAR,ok,1795,
ANGELBRKG,ok,273,
ANGELONE,ok,1193,
ANTHEM,ok,284,
ANUP,ok,1795,
ANURAS,ok,1349,
APARINDS,ok,1795,
APCL,ok,1729,
APCOTEXIND,ok,1795,
APEX,ok,1795,
APLAPOLLO,ok,1795,
APLLTD,ok,1795,
APOLLO,ok,1627,
APOLLOHOSP,ok,1795,
APOLLOPIPE,ok,1689,
APOLLOTYRE,ok,1795,
APTECHT,ok,1671,
APTUS,ok,1247,
ARE&M,ok,708,
ARMANFIN,ok,1795,
ARSHIYA,ok,856,
ARVIND,ok,1795,
ARVINDFASN,ok,1795,
ARVSMART,ok,1738,
ASAHIINDIA,ok,1795,
ASALCBR,ok,1624,
ASHAPURMIN,ok,1552,
ASHIANA,ok,1795,
ASHOKA,ok,1795,
ASHOKLEY,ok,1795,
ASIANPAINT,ok,1795,
ASIANTILES,ok,1731,
ASKAUTOLTD,ok,696,
ASTEC,ok,1795,
ASTERDM,ok,1795,
ASTRAL,ok,1795,
ASTRAMICRO,ok,1795,
ASTRAZEN,ok,1795,
ATFL,ok,1436,
ATGL,ok,1219,
ATHERENERG,ok,338,
ATLANTAELE,ok,218,
ATUL,ok,1795,
ATULAUTO,ok,1738,
AUBANK,ok,1795,
AURIONPRO,ok,1517,
AUROPHARMA,ok,1795,
AUTOAXLES,ok,1795,
AVALON,ok,840,
AVANTIFEED,ok,1795,
AVL,ok,456,
AVTNPL,ok,1795,
AWFIS,ok,566,
AWL,ok,1061,
AXISBANK,ok,1795,
AXISCADES,ok,1392,
AZAD,ok,667,
BAJAJ-AUTO,ok,1795,
BAJAJCON,ok,1795,
BAJAJELEC,ok,1785,
BAJAJFINSV,ok,1795,
BAJAJHFL,ok,492,
BAJAJHIND,ok,1723,
BAJAJHLDNG,ok,1795,
BAJFINANCE,ok,1795,
BALAJITELE,ok,1605,
BALAMINES,ok,1795,
BALKRISIND,ok,1795,
BALMLAWRIE,ok,1795,
BALRAMCHIN,ok,1795,
BALUFORGE,ok,529,
BANARISUG,ok,1793,
BANCOINDIA,ok,1795,
BANDHANBNK,ok,1795,
BANKBARODA,ok,1795,
BANKINDIA,ok,1795,
BANSALWIRE,ok,538,
BARBEQUE,ok,1114,
BASF,ok,1795,
BATAINDIA,ok,1795,
BAYERCROP,ok,1795,
BBL,ok,1795,
BBOX,ok,1007,
BBTC,ok,1795,
BCG,ok,1147,
BDL,ok,1795,
BECTORFOOD,ok,1410,
BEL,ok,1795,
BELRISE,ok,322,
BEML,ok,1785,
BENGALASM,ok,102,
BEPL,ok,1795,
BERGEPAINT,ok,1795,
BESTAGRO,ok,1059,
BFINVEST,ok,1795,
BFUTILITIE,ok,1615,
BHAGCHEM,ok,1210,
BHAGERIA,ok,1671,
BHARATCOAL,ok,161,
BHARATFORG,ok,1795,
BHARATRAS,ok,1795,
BHARTIARTL,ok,1795,
BHARTIHEXA,ok,597,
BHEL,ok,1795,
BIGBLOC,ok,1532,
BIKAJI,ok,942,
BIOCON,ok,1795,
BIRLACORPN,ok,1795,
BIRLATYRE,ok,529,
BLACKBUCK,ok,446,
BLISSGVS,ok,1744,
BLS,ok,1731,
BLUEDART,ok,1795,
BLUEJET,ok,705,
BLUESTARCO,ok,1795,
BLUESTONE,ok,264,
BODALCHEM,ok,1728,
BOMDYEING,ok,1795,
BOROLTD,ok,1364,
BORORENEW,ok,1485,
BOSCHLTD,ok,1795,
BPCL,ok,1795,
BRIGADE,ok,1795,
BRITANNIA,ok,1795,
BSE,ok,1795,
BSHSL,ok,992,
BSOFT,ok,1795,
BURGERKING,ok,293,
BUTTERFLY,ok,1621,
CADILAHC,ok,681,
CAMLINFINE,ok,1737,
CAMPUS,ok,1073,
CAMS,ok,1466,
CANBK,ok,1795,
CANFINHOME,ok,1795,
CANHLIFE,ok,223,
CANTABIL,ok,1738,
CAPACITE,ok,1795,
CAPLIPOINT,ok,1795,
CARBORUNIV,ok,1795,
CARERATING,ok,1795,
CARTRADE,ok,1249,
CASTROLIND,ok,1795,
CCAVENUE,ok,151,
CCL,ok,1795,
CDSL,ok,1731,
CEATLTD,ok,1795,
CEIGALL,ok,518,
CELLO,ok,702,
CEMPRO,ok,244,
CENTRALBK,ok,1795,
CENTRUM,ok,1737,
CENTURYPLY,ok,1795,
CENTURYTEX,ok,1320,
CERA,ok,1795,
CESC,ok,1795,
CESCVENT,ok,410,
CGCL,ok,1795,
CGPOWER,ok,1612,
CHALET,ok,1795,
CHAMBLFERT,ok,1795,
CHEMCON,ok,1412,
CHEMPLASTS,ok,1247,
CHENNPETRO,ok,1795,
CHOICEIN,ok,1091,
CHOLAFIN,ok,1795,
CHOLAHLDNG,ok,1795,
CIEINDIA,ok,797,
CIGNITITEC,ok,1711,
CIPLA,ok,1795,
CLEAN,ok,1271,
CLEANMAX,ok,132,
CLNINDIA,ok,932,
CMPDI,ok,114,
CMSINFO,ok,1158,
