symbol,status,note
AADHARHFC,ok,"3 series, svg+mmd"
AARTIDRUGS,ok,"2 series, svg+mmd"
AARTIIND,ok,"3 series, svg+mmd"
AARTIPHARM,ok,"2 series, svg+mmd"
AAVAS,ok,"3 series, svg+mmd"
ABB,ok,"3 series, svg+mmd"
ABBOTINDIA,ok,"3 series, svg+mmd"
ABCAPITAL,ok,"3 series, svg+mmd"
ABDL,ok,"3 series, svg+mmd"
ABFRL,ok,"3 series, svg+mmd"
ABLBL,ok,"2 series, svg"
ABREL,ok,"3 series, svg+mmd"
ABSLAMC,ok,"3 series, svg+mmd"
ACC,ok,"3 series, svg+mmd"
ACE,ok,"3 series, svg+mmd"
ACI,ok,"2 series, svg+mmd"
ACMESOLAR,ok,"3 series, svg+mmd"
ACUTAAS,ok,"3 series, svg+mmd"
ADANIENSOL,ok,"3 series, svg+mmd"
ADANIENT,ok,"3 series, svg+mmd"
ADANIGREEN,ok,"3 series, svg+mmd"
ADANIPORTS,ok,"3 series, svg+mmd"
ADANIPOWER,ok,"3 series, svg+mmd"
ADVENZYMES,ok,"2 series, svg+mmd"
AEGISLOG,ok,"3 series, svg+mmd"
AEGISVOPAK,ok,"2 series, svg+mmd"
AEQUS,ok,"2 series, svg+mmd"
AETHER,ok,"2 series, svg+mmd"
AFCONS,ok,"3 series, svg+mmd"
AFFLE,ok,"3 series, svg+mmd"
AGARWALEYE,ok,"2 series, svg+mmd"
AHLUCONT,ok,"2 series, svg+mmd"
AIAENG,ok,"3 series, svg+mmd"
AIIL,ok,"3 series, svg+mmd"
AJANTPHARM,ok,"3 series, svg+mmd"
AKUMS,ok,"2 series, svg+mmd"
ALIVUS,ok,"2 series, svg+mmd"
ALKEM,ok,"3 series, svg+mmd"
ALKYLAMINE,ok,"2 series, svg+mmd"
ALOKINDS,ok,"2 series, svg+mmd"
AMBER,ok,"3 series, svg+mmd"
AMBUJACEM,ok,"3 series, svg+mmd"
ANANDRATHI,ok,"3 series, svg+mmd"
ANANTRAJ,ok,"3 series, svg+mmd"
ANGELONE,ok,"3 series, svg+mmd"
ANTHEM,ok,"2 series, svg+mmd"
ANUP,ok,"2 series, svg+mmd"
ANURAS,ok,"3 series, svg+mmd"
APARINDS,ok,"3 series, svg+mmd"
APLAPOLLO,ok,"3 series, svg+mmd"
APLLTD,ok,"2 series, svg+mmd"
APOLLO,ok,"2 series, svg+mmd"
