symbol,status,seconds
FIRSTCRY,ok,
FIVESTAR,ok,
FLUOROCHEM,ok,
FORCEMOT,ok,
FORTIS,ok,
FSL,ok,
GABRIEL,ok,
GAEL,ok,
GAIL,ok,
GALLANTT,ok,
GESHIP,ok,
GHCL,ok,
GICRE,ok,
GILLETTE,ok,
GLAND,ok,
GLAXO,ok,
GLENMARK,ok,
GMDCLTD,ok,
GMMPFAUDLR,ok,
GMRAIRPORT,ok,
GNFC,ok,
GODFRYPHLP,ok,
GODIGIT,ok,
GODREJAGRO,ok,
GODREJCP,ok,
GODREJIND,ok,
GODREJPROP,ok,
GOKEX,ok,
GOKULAGRO,ok,
GPIL,ok,
GPPL,ok,
GRANULES,ok,
GRAPHITE,ok,
GRASIM,ok,
GRAVITA,ok,
GREAVESCOT,ok,
GROWW,ok,
GRSE,ok,
GRWRHITECH,ok,
GSFC,ok,
HAL,ok,
HAPPSTMNDS,ok,
HAVELLS,ok,
HBLENGINE,ok,
HCC,ok,
HCG,ok,
HCLTECH,ok,
HDBFS,ok,
HDFCAMC,ok,
HDFCBANK,ok,
HDFCLIFE,ok,
HEG,ok,
HEMIPROP,ok,
HERITGFOOD,ok,
HEROMOTOCO,ok,
HEXT,ok,
HFCL,ok,
HGINFRA,ok,
HINDALCO,ok,
HINDCOPPER,ok,
HINDPETRO,ok,
HINDUNILVR,ok,
HINDZINC,ok,
HOMEFIRST,ok,
HONASA,ok,
HONAUT,ok,
HSCL,ok,
HUDCO,ok,
HYUNDAI,ok,
ICICIAMC,ok,
ICICIBANK,ok,
ICICIGI,ok,
ICICIPRULI,ok,
ICIL,ok,
IDBI,ok,
IDEA,ok,
IDFCFIRSTB,ok,
IEX,ok,
IFBIND,ok,
IFCI,ok,
IGIL,ok,
IGL,ok,
IIFL,ok,
IIFLCAPS,ok,
IKS,ok,
IMFA,ok,
INDGN,ok,
INDHOTEL,ok,
INDIACEM,ok,
INDIAGLYCO,ok,
INDIAMART,ok,
INDIANB,ok,
INDIASHLTR,ok,
INDIGO,ok,
INDIGOPNTS,ok,
INDUSINDBK,ok,
INDUSTOWER,ok,
INFY,ok,
INOXGREEN,ok,
INOXINDIA,ok,
INOXWIND,ok,
INTELLECT,ok,
IOB,ok,
IOC,ok,
IONEXCHANG,ok,
IPCALAB,ok,
IRB,ok,
IRCON,ok,
IRCTC,ok,
IREDA,ok,
IRFC,ok,
ITC,ok,
ITCHOTELS,ok,
ITI,ok,
IXIGO,ok,
JAIBALAJI,ok,
JAINREC,ok,
JAMNAAUTO,ok,
JAYNECOIND,ok,
JBCHEPHARM,ok,
JBMA,ok,
JINDALSAW,ok,
JINDALSTEL,ok,
JIOFIN,ok,
JKCEMENT,ok,
JKLAKSHMI,ok,
JKPAPER,ok,
JKTYRE,ok,
JLHL,ok,
JMFINANCIL,ok,
JPPOWER,ok,
JSFB,ok,
JSL,ok,
JSLL,ok,
JSWCEMENT,ok,
JSWDULUX,ok,
JSWENERGY,ok,
JSWINFRA,ok,
JSWSTEEL,ok,
