date,symbol,event
2020-03-06,AJANTPHARM,fresh signal REFUSED — falling earnings power
2020-03-06,NAVINFLUOR,fresh signal REFUSED — falling earnings power
2020-03-06,PFIZER,fresh signal REFUSED — falling earnings power
2020-03-06,POLYMED,fresh signal REFUSED — falling earnings power
2020-03-06,RELAXO,fresh signal REFUSED — falling earnings power
2020-03-09,DEEPAKNTR,"BUY ₹10.00 at ₹508.80 (fresh Friday signal — BUY: 2.89× weekly, month 3.36×, ladder rising; stop ₹356.25; charges ₹0.01)"
2020-03-09,LALPATHLAB,"BUY ₹9.96 at ₹835.00 (fresh Friday signal — ACCUMULATE: 2.13× weekly, month 1.57×, ladder rising; stop ₹743.38; charges ₹0.01)"
2020-03-13,LALPATHLAB,"SELL ₹8.85 at stop ₹743.38 (-11.0%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2020-03-19,DEEPAKNTR,"SELL ₹6.99 at stop ₹356.25 (-30.0%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2020-04-01,TAX,"FY2020 settled: ₹0.00 paid (STCG ₹0.00 @20%, LTCG ₹0.00 @12.5%; losses carried forward ST ₹4.09 / LT ₹0.00)"
2020-04-13,DEEPAKNTR,"BUY ₹9.59 at ₹474.55 (fresh Friday signal — ACCUMULATE: 1.76× weekly, month 2.48×, ladder rising; stop ₹240.25; charges ₹0.01)"
2020-04-24,ZYDUSLIFE,fresh signal REFUSED — falling earnings power
2020-04-27,SYNGENE,"BUY ₹9.60 at ₹319.00 (fresh Friday signal — ACCUMULATE: 2.32× weekly, month 1.95×, ladder rising; stop ₹285.95; charges ₹0.01)"
2020-04-30,NIACL,fresh signal REFUSED — falling earnings power
2020-04-30,PFIZER,fresh signal REFUSED — falling earnings power
2020-05-11,APLLTD,"BUY ₹9.67 at ₹774.70 (fresh Friday signal — ACCUMULATE: 1.70× weekly, month 6.12×, ladder rising; stop ₹694.45; charges ₹0.01)"
2020-05-15,BAJAJ-AUTO,fresh signal REFUSED — falling earnings power
2020-05-15,DEEPAKNTR,RAISE STOP ₹240.25 → ₹474.05 (new box ₹499.00–₹567.70 sealed)
2020-05-15,HUDCO,fresh signal REFUSED — falling earnings power
2020-05-15,VEDL,fresh signal REFUSED — falling earnings power
2020-05-18,ADVENZYMES,"BUY ₹10.90 at ₹159.95 (fresh Friday signal — ACCUMULATE: 3.12× weekly, month 2.00×, ladder rising; stop ₹126.20; charges ₹0.01)"
2020-05-18,APOLLO,"BUY ₹10.83 at ₹8.70 (fresh Friday signal — BUY: 6.25× weekly, month 5.34×, ladder rising; stop ₹6.07; charges ₹0.01)"
2020-05-18,DEEPAKFERT,"BUY ₹10.81 at ₹101.03 (fresh Friday signal — ACCUMULATE: 2.11× weekly, month 4.53×, ladder rising; stop ₹88.52; charges ₹0.01)"
2020-05-18,DEEPAKNTR,PYRAMID BUY ₹10.53 at ₹521.95 (box jump — doubling the stake with NEW capital; stop stays ₹474.05; charges ₹0.01)
2020-05-18,LLOYDSENGG,"BUY ₹10.90 at ₹0.63 (fresh Friday signal — BUY: 5.26× weekly, month 1.93×, ladder rising; stop ₹0.37; charges ₹0.01)"
