date,symbol,event
2020-07-03,ALEMBICLTD,RAISE STOP ₹44.84 → ₹69.64 (new box ₹74.20–₹89.40 sealed)
2020-07-03,ASTRAZEN,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.15× weekly, month 2.68×, ladder rising)"
2020-07-03,BANARISUG,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.26× weekly, month 2.09×, ladder rising)"
2020-07-03,BEL,fresh signal REFUSED — falling earnings power
2020-07-03,BHARATRAS,"fresh signal NOT FUNDED — cash exhausted (BUY: 4.45× weekly, month 1.97×, ladder rising)"
2020-07-03,CANTABIL,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.12× weekly, month 3.29×, ladder rising)"
2020-07-03,CAPLIPOINT,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.01× weekly, month 5.85×, ladder rising)"
2020-07-03,DAAWAT,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.93× weekly, month 4.46×, ladder rising)"
2020-07-03,DHANUKA,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.69× weekly, month 6.60×, ladder rising)"
2020-07-03,EIDPARRY,RAISE STOP ₹204.49 → ₹249.19 (new box ₹262.30–₹279.80 sealed)
2020-07-03,FORTIS,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.10× weekly, month 1.80×, ladder rising)"
2020-07-03,GEOJITFSL,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.87× weekly, month 4.46×, ladder rising)"
2020-07-03,GSCLCEMENT,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.95× weekly, month 8.87×, ladder rising)"
2020-07-03,HUDCO,fresh signal REFUSED — falling earnings power
2020-07-03,IRB,fresh signal REFUSED — falling earnings power
2020-07-03,JAICORPLTD,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.79× weekly, month 2.09×, ladder rising)"
2020-07-03,KRBL,fresh signal REFUSED — falling earnings power
2020-07-03,LINDEINDIA,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.05× weekly, month 2.41×, ladder rising)"
2020-07-03,LUMAXIND,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.10× weekly, month 2.21×, ladder rising)"
2020-07-03,MAITHANALL,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 4.09× weekly, month 1.93×, ladder rising)"
2020-07-03,NFL,fresh signal REFUSED — falling earnings power
2020-07-03,RCF,RAISE STOP ₹40.28 → ₹43.75 (new box ₹46.05–₹49.35 sealed)
2020-07-03,SANDHAR,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.39× weekly, month 2.82×, ladder rising)"
2020-07-03,SCI,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.12× weekly, month 1.51×, ladder rising)"
2020-07-03,SEQUENT,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.10× weekly, month 2.83×, ladder rising)"
2020-07-03,SMSPHARMA,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.65× weekly, month 6.20×, ladder rising)"
2020-07-03,STRTECH,RAISE STOP ₹93.29 → ₹103.36 (new box ₹108.80–₹122.00 sealed)
2020-07-03,SYNGENE,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.97× weekly, month 2.13×, ladder rising)"
2020-07-06,BDL,"BUY ₹9.07 at ₹192.10 (fresh Friday signal — BUY: 20.22× weekly, month 9.90×, ladder rising; stop ₹123.59; charges ₹0.0108)"
2020-07-07,WENDT,"SELL ₹8.32 at stop ₹2,047.46 (-16.6%, charges ₹0.0086) — the cash goes back to work at the next Friday screen"
2020-07-10,5PAISA,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.07× weekly, month 2.94×, ladder rising)"
