date,symbol,event
2020-03-06,NAVINFLUOR,fresh signal REFUSED — falling earnings power
2020-03-06,PFIZER,fresh signal REFUSED — falling earnings power
2020-03-06,POLYMED,fresh signal REFUSED — falling earnings power
2020-03-06,RELAXO,fresh signal REFUSED — falling earnings power
2020-03-09,DEEPAKNTR,"BUY ₹10.01 at ₹508.80 (fresh Friday signal — BUY: 2.89× weekly, month 3.33×, ladder rising; stop ₹356.25; charges ₹0.01)"
2020-03-09,HDFCMFGETF,"BUY ₹9.98 at ₹4,002.50 (fresh Friday signal — ACCUMULATE: 2.73× weekly, month 2.32×, ladder rising; stop ₹3,540.65; charges ₹0.01)"
2020-03-09,INDOCO,"BUY ₹9.96 at ₹228.20 (fresh Friday signal — ACCUMULATE: 2.23× weekly, month 2.79×, ladder rising; stop ₹164.08; charges ₹0.01)"
2020-03-09,IOLCP,"BUY ₹9.87 at ₹51.20 (fresh Friday signal — ACCUMULATE: 2.04× weekly, month 9.15×, ladder rising; stop ₹36.91; charges ₹0.01)"
2020-03-09,LALPATHLAB,"BUY ₹9.89 at ₹835.00 (fresh Friday signal — ACCUMULATE: 2.13× weekly, month 1.75×, ladder rising; stop ₹743.38; charges ₹0.01)"
2020-03-09,SETFGOLD,"BUY ₹10.00 at ₹3,862.80 (fresh Friday signal — BUY: 3.14× weekly, month 2.45×, ladder rising; stop ₹3,548.39; charges ₹0.01)"
2020-03-13,HDFCMFGETF,"SELL ₹8.81 at stop ₹3,540.65 (-11.5%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2020-03-13,INDOCO,"SELL ₹7.14 at stop ₹164.08 (-28.1%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2020-03-13,LALPATHLAB,"SELL ₹8.79 at stop ₹743.38 (-11.0%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2020-03-17,SETFGOLD,"SELL ₹9.17 at stop ₹3,548.39 (-8.1%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2020-03-19,DEEPAKNTR,"SELL ₹7.00 at stop ₹356.25 (-30.0%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2020-03-19,IOLCP,"SELL ₹7.10 at stop ₹36.91 (-27.9%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2020-04-01,TAX,"FY2020 settled: ₹0.00 paid (STCG ₹0.00 @20%, LTCG ₹0.00 @12.5%; losses carried forward ST ₹11.59 / LT ₹0.00)"
2020-04-13,AXISGOLD,"BUY ₹8.82 at ₹4,049.00 (fresh Friday signal — ACCUMULATE: 1.53× weekly, month 3.08×, ladder rising; stop ₹3,199.23; charges ₹0.01)"
2020-04-13,DEEPAKNTR,"BUY ₹8.83 at ₹474.55 (fresh Friday signal — ACCUMULATE: 1.76× weekly, month 2.54×, ladder rising; stop ₹240.25; charges ₹0.01)"
2020-04-13,GOLDBEES,"BUY ₹8.80 at ₹41.24 (fresh Friday signal — ACCUMULATE: 1.55× weekly, month 9.44×, ladder rising; stop ₹31.74; charges ₹0.01)"
2020-04-20,HDFCMFGETF,"BUY ₹8.85 at ₹4,385.40 (fresh Friday signal — BUY: 2.66× weekly, month 4.34×, ladder rising; stop ₹3,695.50; charges ₹0.01)"
2020-04-27,CADILAHC,"BUY ₹8.90 at ₹330.30 (fresh Friday signal — ACCUMULATE: 2.52× weekly, month 4.52×, ladder rising; stop ₹310.03; charges ₹0.01)"
2020-04-27,SYNGENE,"BUY ₹8.91 at ₹319.00 (fresh Friday signal — ACCUMULATE: 2.32× weekly, month 1.67×, ladder rising; stop ₹285.95; charges ₹0.01)"
2020-04-27,TAJGVK,"BUY ₹8.90 at ₹133.40 (fresh Friday signal — BUY: 6.65× weekly, month 2.45×, ladder rising; stop ₹106.49; charges ₹0.01)"
2020-04-30,AXISGOLD,"RAISE STOP ₹3,199.23 → ₹3,943.45 (new box ₹4,151.00–₹4,802.10 sealed)"
2020-04-30,HDFCMFGETF,"RAISE STOP ₹3,695.50 → ₹4,037.50 (new box ₹4,250.00–₹4,830.70 sealed)"
2020-04-30,NIACL,fresh signal REFUSED — falling earnings power
2020-04-30,PFIZER,fresh signal REFUSED — falling earnings power
2020-05-08,APLLTD,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.70× weekly, month 6.57×, ladder rising; funding priority now 1)"
2020-05-11,EIDPARRY,"BUY ₹8.80 at ₹164.00 (fresh Friday signal — ACCUMULATE: 2.52× weekly, month 1.53×, ladder rising; stop ₹132.60; charges ₹0.01)"
2020-05-11,IOLCP,"BUY ₹8.67 at ₹66.18 (fresh Friday signal — BUY: 2.18× weekly, month 2.73×, ladder rising; stop ₹51.22; charges ₹0.01)"
2020-05-11,MANGCHEFER,"BUY ₹8.81 at ₹33.75 (fresh Friday signal — BUY: 2.54× weekly, month 2.97×, ladder rising; stop ₹29.50; charges ₹0.01)"
2020-05-15,DEEPAKNTR,RAISE STOP ₹240.25 → ₹474.05 (new box ₹499.00–₹567.70 sealed)
2020-05-15,MANGCHEFER,RAISE STOP ₹29.50 → ₹30.64 (new box ₹32.25–₹36.25 sealed)
2020-05-15,TAJGVK,RAISE STOP ₹106.49 → ₹107.73 (new box ₹117.00–₹147.90 sealed)
2020-05-22,IOLCP,RAISE STOP ₹51.22 → ₹69.35 (new box ₹73.00–₹80.96 sealed)
2020-06-05,CADILAHC,RAISE STOP ₹310.03 → ₹316.35 (new box ₹333.00–₹353.00 sealed)
2020-06-05,SYNGENE,RAISE STOP ₹285.95 → ₹323.19 (new box ₹340.20–₹382.00 sealed)
2020-06-12,ADVENZYMES,"fresh signal NOT FUNDED — cash exhausted (BUY: 4.13× weekly, month 2.88×, ladder rising; funding priority now 1)"
2020-06-12,ALEMBICLTD,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.12× weekly, month 4.14×, ladder rising; funding priority now 1)"
2020-06-12,APOLLO,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.77× weekly, month 6.85×, ladder rising; funding priority now 1)"
2020-06-12,ASTRAZEN,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.92× weekly, month 3.02×, ladder rising; funding priority now 1)"
2020-06-12,CAPLIPOINT,"fresh signal NOT FUNDED — cash exhausted (BUY: 5.39× weekly, month 2.09×, ladder rising; funding priority now 1)"
2020-06-12,DEEPAKNTR,"SELL ₹8.80 at stop ₹474.05 (-0.1%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2020-06-12,GRANULES,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.46× weekly, month 2.65×, ladder rising; funding priority now 1)"
2020-06-12,GSPL,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.29× weekly, month 1.70×, ladder rising; funding priority now 1)"
2020-06-12,GUJAPOLLO,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.82× weekly, month 1.77×, ladder rising; funding priority now 1)"
2020-06-12,HATHWAY,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.22× weekly, month 3.04×, ladder rising; funding priority now 1)"
2020-06-12,HEROMOTOCO,fresh signal REFUSED — falling earnings power
2020-06-12,ICICIGOLD,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.93× weekly, month 7.52×, ladder rising; funding priority now 1)"
