symbol,first_flagged,action,box_bottom,box_top,stop_loss,last_close,updated
APOLLO,2026-09-13,BUY,283.25,337.8,266.88,409.0,2026-09-13
ASTRAMICRO,2026-09-13,BUY,1070.1,1179.0,1016.59,1401.7,2026-09-13
BBOX,2026-09-13,BUY,925.3,966.0,879.03,1037.15,2026-09-13
CENTURYPLY,2026-09-13,ACCUMULATE,750.0,835.95,712.5,773.35,2026-09-13
DIACABS,2026-09-13,BUY,187.1,204.8,177.75,194.31,2026-09-13
EXIDEIND,2026-09-13,WATCH,,,,386.5,2026-09-13
HCC,2026-09-13,ACCUMULATE,20.35,24.65,19.06,22.81,2026-09-13
HFCL,2026-09-13,BUY,134.93,155.3,128.18,179.94,2026-09-13
HONASA,2026-09-13,BUY,340.55,362.8,323.52,406.4,2026-09-13
IFCI,2026-09-13,WATCH,60.6,66.25,57.57,68.53,2026-09-13
MARKSANS,2026-09-13,BUY,210.02,225.49,199.52,246.19,2026-09-13
RAIN,2026-09-13,BUY,171.75,183.0,163.16,188.07,2026-09-13
REDTAPE,2026-09-13,WATCH,120.31,141.1,114.07,139.52,2026-09-13
REFEX,2026-09-13,BUY,260.95,308.4,246.72,328.3,2026-09-13
RRKABEL,2026-09-13,BUY,1898.1,2049.0,1803.19,2056.3,2026-09-13
SHILPAMED,2026-09-13,BUY,464.15,493.2,440.94,498.95,2026-09-13
SHYAMMETL,2026-09-13,WATCH,,,,973.35,2026-09-13
SKYGOLD,2026-09-13,ACCUMULATE,421.65,549.9,383.17,521.0,2026-09-13
SPARC,2026-09-13,BUY,162.01,182.59,153.91,212.11,2026-09-13
SUPRIYA,2026-09-13,WATCH,671.15,732.15,637.59,968.7,2026-09-13
TATACOMM,2026-09-13,WATCH,1538.7,1623.0,1461.77,1965.0,2026-09-13
THERMAX,2026-09-13,WATCH,,,,4982.7002,2026-09-13
VIYASH,2026-09-13,ACCUMULATE,244.62,268.7,232.39,261.94,2026-09-13
WOCKPHARMA,2026-09-13,BUY,1505.0,1778.0,1423.1,2031.4,2026-09-13
ZYDUSLIFE,2026-09-13,ACCUMULATE,1030.05,1093.65,978.55,1077.7,2026-09-13
