date,symbol,event
2015-03-05,BLISSGVS,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.71× weekly, month 1.97×, ladder rising; funding priority now 1)"
2015-03-05,CELESTIAL,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.98× weekly, month 4.14×, ladder rising; funding priority now 1)"
2015-03-05,RAMCOSYS,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.12× weekly, month 5.40×, ladder rising; funding priority now 1)"
2015-03-05,SPARC,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.67× weekly, month 2.23×, ladder rising; funding priority now 1)"
2015-03-05,TWL,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.00× weekly, month 9.35×, ladder rising; funding priority now 1)"
2015-03-09,ECLERX,"BUY ₹9.88 at ₹1,550.00 (fresh Friday signal — BUY: 3.25× weekly, month 2.52×, ladder rising; stop ₹1,171.35; charges ₹0.01)"
2015-03-09,GEOMETRIC,"BUY ₹9.98 at ₹157.60 (fresh Friday signal — BUY: 6.64× weekly, month 1.62×, ladder rising; stop ₹130.15; charges ₹0.01)"
2015-03-09,HCC,"BUY ₹9.92 at ₹36.45 (fresh Friday signal — BUY: 3.01× weekly, month 1.69×, ladder rising; stop ₹28.57; charges ₹0.01)"
2015-03-09,ITDCEM,"BUY ₹10.00 at ₹76.97 (fresh Friday signal — BUY: 6.68× weekly, month 7.24×, ladder rising; stop ₹58.42; charges ₹0.01)"
2015-03-09,JBMA,"BUY ₹9.89 at ₹239.80 (fresh Friday signal — BUY: 2.78× weekly, month 2.63×, ladder rising; stop ₹188.60; charges ₹0.01)"
2015-03-09,KEI,"BUY ₹9.91 at ₹65.95 (fresh Friday signal — BUY: 3.70× weekly, month 1.68×, ladder rising; stop ₹51.77; charges ₹0.01)"
2015-03-09,MADHUCON,"BUY ₹9.96 at ₹63.70 (fresh Friday signal — BUY: 4.43× weekly, month 2.44×, ladder rising; stop ₹45.42; charges ₹0.01)"
2015-03-09,SMLISUZU,"BUY ₹9.92 at ₹1,200.00 (fresh Friday signal — BUY: 2.25× weekly, month 1.55×, ladder rising; stop ₹949.52; charges ₹0.01)"
2015-03-09,SOMANYCERA,"BUY ₹9.99 at ₹405.00 (fresh Friday signal — BUY: 6.10× weekly, month 1.53×, ladder rising; stop ₹336.63; charges ₹0.01)"
2015-03-09,TAKE,"BUY ₹9.88 at ₹147.85 (fresh Friday signal — BUY: 2.20× weekly, month 5.42×, ladder rising; stop ₹130.91; charges ₹0.01)"
2015-03-13,GEOMETRIC,RAISE STOP ₹130.15 → ₹145.35 (new box ₹153.00–₹177.80 sealed)
2015-03-13,JBMA,RAISE STOP ₹188.60 → ₹222.30 (new box ₹234.00–₹260.00 sealed)
2015-03-13,KEI,RAISE STOP ₹51.77 → ₹59.38 (new box ₹62.50–₹72.00 sealed)
2015-03-13,MADHUCON,RAISE STOP ₹45.42 → ₹55.38 (new box ₹58.30–₹64.70 sealed)
2015-03-16,GEOMETRIC,PYRAMID BUY ₹10.67 at ₹168.65 (box jump — doubling the stake with NEW capital; stop stays ₹145.35; charges ₹0.01)
2015-03-16,JBMA,PYRAMID BUY ₹9.76 at ₹237.00 (box jump — doubling the stake with NEW capital; stop stays ₹222.30; charges ₹0.01)
2015-03-16,KEI,PYRAMID BUY ₹9.61 at ₹64.05 (box jump — doubling the stake with NEW capital; stop stays ₹59.38; charges ₹0.01)
2015-03-16,MADHUCON,PYRAMID BUY ₹9.15 at ₹58.60 (box jump — doubling the stake with NEW capital; stop stays ₹55.38; charges ₹0.01)
2015-03-16,TAKE,"SELL ₹8.72 at stop ₹130.91 (-11.5%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-03-17,MADHUCON,"SELL ₹17.27 at stop ₹55.38 (-9.4%, charges ₹0.02) — the cash goes back to work at the next Friday screen; ₹8.63 of doubled capital and its returns OUT to the pocket"
2015-03-20,BOSCHLTD,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.74× weekly, month 6.55×, ladder rising; funding priority now 1)"
2015-03-20,DYNAMATECH,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.05× weekly, month 2.21×, ladder rising; funding priority now 1)"
2015-03-20,ECLERX,"RAISE STOP ₹1,171.35 → ₹1,320.70 (new box ₹1,399.00–₹1,660.00 sealed)"
2015-03-20,GEOMETRIC,RAISE STOP ₹145.35 → ₹158.22 (new box ₹166.55–₹184.40 sealed)
2015-03-20,IPCALAB,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.52× weekly, month 1.79×, ladder rising; funding priority now 1)"
2015-03-20,ITDCEM,RAISE STOP ₹58.42 → ₹64.03 (new box ₹68.40–₹82.97 sealed)
2015-03-20,LUPIN,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.06× weekly, month 2.50×, ladder rising; funding priority now 1)"
2015-03-20,SOMANYCERA,RAISE STOP ₹336.63 → ₹341.63 (new box ₹361.00–₹425.55 sealed)
2015-03-20,SUZLON,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.72× weekly, month 2.56×, ladder rising; funding priority now 1)"
2015-03-23,ECLERX,"PYRAMID BUY ₹9.98 at ₹1,569.00 (box jump — doubling the stake with NEW capital; stop stays ₹1,320.70; charges ₹0.01)"
2015-03-23,GEOMETRIC,PYRAMID BUY ₹22.13 at ₹175.00 (box jump — doubling the stake with NEW capital; stop stays ₹158.22; charges ₹0.03)
2015-03-23,ITDCEM,PYRAMID BUY ₹9.73 at ₹74.94 (box jump — doubling the stake with NEW capital; stop stays ₹64.03; funded ₹8.63 from the pocket + ₹1.10 fresh; charges ₹0.01)
2015-03-23,JBMA,"SELL ₹18.28 at stop ₹222.30 (-6.8%, charges ₹0.02) — the cash goes back to work at the next Friday screen; ₹9.14 of doubled capital and its returns OUT to the pocket"
2015-03-23,KEI,"SELL ₹17.80 at stop ₹59.38 (-8.6%, charges ₹0.02) — the cash goes back to work at the next Friday screen; ₹8.89 of doubled capital and its returns OUT to the pocket"
2015-03-23,SOMANYCERA,PYRAMID BUY ₹9.17 at ₹372.00 (box jump — doubling the stake with NEW capital; stop stays ₹341.63; charges ₹0.01)
2015-03-23,ZYDUSWELL,"BUY ₹17.58 at ₹1,051.70 (fresh Friday signal — BUY: 3.59× weekly, month 2.15×, ladder rising; stop ₹663.79; charges ₹0.02)"
2015-03-27,CENTURYTEX,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.02× weekly, month 1.53×, ladder rising; funding priority now 1)"
2015-03-27,LUPIN,"fresh signal NOT FUNDED — cash exhausted (starved 1×, front of the queue — BUY: 2.05× weekly, month 2.58×, ladder rising; funding priority now 2)"
2015-03-27,SOLARINDS,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 6.38× weekly, month 1.95×, ladder rising; funding priority now 1)"
2015-03-27,SUVEN,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.82× weekly, month 2.46×, ladder rising; funding priority now 1)"
2015-03-27,ZYDUSWELL,"RAISE STOP ₹663.79 → ₹960.45 (new box ₹1,011.00–₹1,128.90 sealed)"
2015-03-30,DYNAMATECH,"BUY ₹17.39 at ₹3,843.00 (fresh Friday signal — starved 1×, front of the queue — BUY: 10.44× weekly, month 3.95×, ladder rising; stop ₹3,081.75; charges ₹0.02)"
2015-03-30,ZYDUSWELL,"PYRAMID BUY ₹17.11 at ₹1,025.00 (box jump — doubling the stake with NEW capital; stop stays ₹960.45; funded ₹17.11 from the pocket + ₹0.00 fresh; charges ₹0.02)"
2015-04-01,SMLISUZU,"RAISE STOP ₹949.52 → ₹983.70 (new box ₹1,053.00–₹1,284.00 sealed)"
