date,symbol,event
2020-03-06,DEEPAKNTR,"fresh signal REFUSED — the box puts the stop 31.4% below the price, beyond the 25% cap"
2020-03-06,INDOCO,"fresh signal REFUSED — the box puts the stop 31.4% below the price, beyond the 25% cap"
2020-03-06,IOLCP,"fresh signal REFUSED — the box puts the stop 28.1% below the price, beyond the 25% cap"
2020-03-06,NAVINFLUOR,fresh signal REFUSED — falling earnings power
2020-03-06,PFIZER,fresh signal REFUSED — falling earnings power
2020-03-06,POLYMED,fresh signal REFUSED — falling earnings power
2020-03-06,RELAXO,fresh signal REFUSED — falling earnings power
2020-03-09,HDFCMFGETF,"BUY ₹10.01 at ₹4,002.50 (fresh Friday signal — ACCUMULATE: 2.73× weekly, month 2.32×, ladder rising; stop ₹3,540.65; charges ₹0.01)"
2020-03-09,LALPATHLAB,"BUY ₹9.99 at ₹835.00 (fresh Friday signal — ACCUMULATE: 2.13× weekly, month 1.75×, ladder rising; stop ₹743.38; charges ₹0.01)"
2020-03-09,SETFGOLD,"BUY ₹10.00 at ₹3,862.80 (fresh Friday signal — BUY: 3.14× weekly, month 2.45×, ladder rising; stop ₹3,548.39; charges ₹0.01)"
2020-03-13,HDFCMFGETF,"SELL ₹8.84 at stop ₹3,540.65 (-11.5%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2020-03-13,LALPATHLAB,"SELL ₹8.88 at stop ₹743.38 (-11.0%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2020-03-17,SETFGOLD,"SELL ₹9.17 at stop ₹3,548.39 (-8.1%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2020-04-01,TAX,"FY2020 settled: ₹0.00 paid (STCG ₹0.00 @20%, LTCG ₹0.00 @12.5%; losses carried forward ST ₹3.06 / LT ₹0.00)"
2020-04-09,DEEPAKNTR,"fresh signal REFUSED — the box puts the stop 48.9% below the price, beyond the 25% cap"
2020-04-13,AXISGOLD,"BUY ₹9.72 at ₹4,049.00 (fresh Friday signal — ACCUMULATE: 1.53× weekly, month 3.08×, ladder rising; stop ₹3,199.23; charges ₹0.01)"
2020-04-13,GOLDBEES,"BUY ₹9.69 at ₹41.24 (fresh Friday signal — ACCUMULATE: 1.55× weekly, month 9.44×, ladder rising; stop ₹31.74; charges ₹0.01)"
2020-04-20,HDFCMFGETF,"BUY ₹9.74 at ₹4,385.40 (fresh Friday signal — BUY: 2.66× weekly, month 4.34×, ladder rising; stop ₹3,695.50; charges ₹0.01)"
2020-04-27,CADILAHC,"BUY ₹9.75 at ₹330.30 (fresh Friday signal — ACCUMULATE: 2.52× weekly, month 4.52×, ladder rising; stop ₹310.03; charges ₹0.01)"
2020-04-27,SYNGENE,"BUY ₹9.76 at ₹319.00 (fresh Friday signal — ACCUMULATE: 2.32× weekly, month 1.67×, ladder rising; stop ₹285.95; charges ₹0.01)"
