symbol,first_flagged,action,box_bottom,box_top,stop_loss,last_close,updated
ABDL,2026-09-13,WATCH,382.1,432.55,366.97,404.05,2026-09-13
AFFLE,2026-09-13,BUY,1251.3,1360.0,1218.69,1449.1,2026-09-13
AIAENG,2026-09-13,SELL,3545.0,3974.6001,,3636.6001,2026-09-13
ARVINDFASN,2026-09-13,WATCH,370.5,470.5,340.5,403.5,2026-09-13
ASKAUTOLTD,2026-09-13,BUY,392.3,424.7,382.58,444.75,2026-09-13
CARBORUNIV,2026-09-13,SELL,780.0,855.45,,775.7,2026-09-13
DBL,2026-09-13,SELL,422.5,472.4,,387.2,2026-09-13
DMART,2026-09-13,SELL,3736.1001,4056.0,,3956.8,2026-09-13
EIEL,2026-09-13,WATCH,134.71,163.5,126.07,140.39,2026-09-13
EPL,2026-09-13,WATCH,176.4,205.77,167.59,205.27,2026-09-13
GALLANTT,2026-09-13,WATCH,515.1,674.75,467.21,548.6,2026-09-13
IRB,2026-09-13,WATCH,19.825,22.465,19.03,22.14,2026-09-13
JLHL,2026-09-13,WATCH,239.76,279.3,227.9,256.24,2026-09-13
KNRCON,2026-09-13,SELL,116.91,148.0,,113.04,2026-09-13
PHOENIXLTD,2026-09-13,ACCUMULATE,1465.6,1633.9,1415.11,1506.3,2026-09-13
RENUKA,2026-09-13,WATCH,23.01,26.0,22.11,27.5,2026-09-13
SAIL,2026-09-13,WATCH,142.26,158.54,137.38,151.42,2026-09-13
SAMMAANCAP,2026-09-13,SELL,137.19,162.0,,149.52,2026-09-13
SHYAMMETL,2026-09-13,WATCH,752.1,821.05,731.42,771.1,2026-09-13
THERMAX,2026-09-13,ACCUMULATE,3050.0,3347.2,2960.84,3260.7,2026-09-13
TRAVELFOOD,2026-09-13,BUY,1089.0,1138.0,1074.3,1261.8,2026-09-13
URBANCO,2026-09-13,WATCH,109.23,131.44,102.57,118.86,2026-09-13
UTIAMC,2026-09-13,SELL,927.2,1107.5,,937.35,2026-09-13
WESTLIFE,2026-09-13,WATCH,,,,481.3,2026-09-13
WEWORK,2026-09-13,WATCH,421.0,552.8,381.46,455.35,2026-09-13
