,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,2043.0,598.0,1871.0,1665.0,1654.0,1721.0,
Cash from Investing Activity,,30.0,-73.0,-274.0,-20.0,-29.0,-856.0,
Cash from Financing Activity,,-1373.0,-2326.0,-2561.0,-2185.0,-106.0,-127.0,
Net Cash Flow,,700.0,-1801.0,-964.0,-540.0,1519.0,737.0,
Free Cash Flow,,1868.0,328.0,1357.0,1425.0,1319.0,549.0,
CFO/OP,,111.0,58.0,122.0,100.0,77.0,97.0,
Profit from operations,Cash from Operating Activity,,2350.0,1844.0,1932.0,2249.0,3110.0,2517.0
Receivables,Cash from Operating Activity,,-565.0,-328.0,-121.0,-295.0,-571.0,-456.0
Inventory,Cash from Operating Activity,,-419.0,224.0,-226.0,247.0,-634.0,70.0
Payables,Cash from Operating Activity,,1223.0,-694.0,527.0,-95.0,415.0,87.0
Loans Advances,Cash from Operating Activity,,0.0,0.0,1.0,-0.0,-1.0,-31.0
Other WC items,Cash from Operating Activity,,185.0,119.0,201.0,130.0,89.0,154.0
Working capital changes,Cash from Operating Activity,,423.0,-679.0,381.0,-13.0,-703.0,-175.0
Direct taxes,Cash from Operating Activity,,-568.0,-402.0,-442.0,-570.0,-754.0,-621.0
Exceptional CF items,Cash from Operating Activity,,-163.0,-166.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,,-176.0,-273.0,-517.0,-242.0,-339.0,-1172.0
Fixed assets sold,Cash from Investing Activity,,1.0,4.0,3.0,2.0,5.0,0.0
Investments sold,Cash from Investing Activity,,0.0,0.0,20.0,21.0,59.0,0.0
Interest received,Cash from Investing Activity,,172.0,167.0,220.0,199.0,248.0,268.0
Other investing items,Cash from Investing Activity,,33.0,30.0,-0.0,0.0,-1.0,48.0
Interest paid fin,Cash from Financing Activity,,-16.0,-22.0,-22.0,-27.0,-30.0,-36.0
Dividends paid,Cash from Financing Activity,,-1333.0,-2263.0,-2489.0,-2093.0,0.0,0.0
Financial liabilities,Cash from Financing Activity,,-24.0,-41.0,-49.0,-65.0,-76.0,-91.0
