,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,103.0,99.0,164.0,233.0,346.0,360.0,519.0
Cash from Investing Activity,,-85.0,-46.0,-155.0,-509.0,-914.0,-750.0,-308.0
Cash from Financing Activity,,-73.0,-37.0,35.0,303.0,553.0,382.0,-220.0
Net Cash Flow,,-56.0,17.0,44.0,27.0,-15.0,-8.0,-10.0
Free Cash Flow,,-98.0,66.0,95.0,76.0,118.0,40.0,59.0
CFO/OP,,97.0,126.0,97.0,98.0,103.0,86.0,101.0
Profit from operations,Cash from Operating Activity,128.0,97.0,195.0,281.0,373.0,491.0,622.0
Receivables,Cash from Operating Activity,-10.0,-6.0,-21.0,-31.0,-29.0,-44.0,-54.0
Inventory,Cash from Operating Activity,-8.0,6.0,-5.0,-2.0,-15.0,-26.0,-14.0
Payables,Cash from Operating Activity,15.0,11.0,17.0,13.0,36.0,27.0,0.0
Other WC items,Cash from Operating Activity,-6.0,-1.0,-6.0,8.0,13.0,-51.0,20.0
Working capital changes,Cash from Operating Activity,-9.0,10.0,-15.0,-13.0,5.0,-94.0,-48.0
Direct taxes,Cash from Operating Activity,-16.0,-7.0,-16.0,-35.0,-32.0,-37.0,-55.0
Fixed assets purchased,Cash from Investing Activity,-202.0,-127.0,-71.0,-158.0,-232.0,-321.0,-461.0
Fixed assets sold,Cash from Investing Activity,0.0,93.0,1.0,0.0,4.0,1.0,1.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,-29.0,-412.0,0.0,0.0
Investments sold,Cash from Investing Activity,124.0,0.0,0.0,0.0,0.0,224.0,126.0
Interest received,Cash from Investing Activity,0.0,1.0,1.0,2.0,5.0,3.0,5.0
Other investing items,Cash from Investing Activity,-8.0,-13.0,-87.0,-325.0,-278.0,-657.0,20.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,301.0,637.0,280.0,11.0
Proceeds from debentures,Cash from Financing Activity,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,11.0,37.0,91.0,173.0,245.0,62.0,0.0
Repayment of borrowings,Cash from Financing Activity,-7.0,-17.0,-18.0,-78.0,-216.0,-203.0,-90.0
Interest paid fin,Cash from Financing Activity,-32.0,-19.0,-21.0,-29.0,-32.0,-32.0,-8.0
Dividends paid,Cash from Financing Activity,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0
Financial liabilities,Cash from Financing Activity,-45.0,-38.0,-51.0,-63.0,-81.0,-99.0,-133.0
Other financing items,Cash from Financing Activity,0.0,0.0,15.0,0.0,0.0,375.0,0.0
