,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,247.0,457.0,-91.0,1056.0,1561.0,1518.0,1794.0,1964.0,2024.0
Cash from Investing Activity,,-118.0,-567.0,-420.0,-499.0,-1800.0,-1944.0,-2762.0,-1904.0,-1939.0
Cash from Financing Activity,,-162.0,112.0,531.0,-423.0,167.0,424.0,916.0,-36.0,-50.0
Net Cash Flow,,-33.0,2.0,20.0,134.0,-72.0,-1.0,-51.0,24.0,34.0
Free Cash Flow,,144.0,-32.0,-655.0,695.0,621.0,-386.0,-93.0,-184.0,-614.0
CFO/OP,,51.0,66.0,-5.0,89.0,82.0,117.0,126.0,107.0,101.0
Profit from operations,Cash from Operating Activity,762.0,988.0,665.0,1373.0,2589.0,1515.0,1638.0,2145.0,2520.0
Receivables,Cash from Operating Activity,-100.0,153.0,-41.0,-365.0,160.0,-230.0,-117.0,-83.0,-96.0
Inventory,Cash from Operating Activity,-167.0,-174.0,-755.0,456.0,-1027.0,-157.0,44.0,-819.0,-1516.0
Payables,Cash from Operating Activity,223.0,-137.0,-81.0,-213.0,828.0,346.0,834.0,560.0,1845.0
Other WC items,Cash from Operating Activity,-358.0,-206.0,175.0,-6.0,-415.0,284.0,-428.0,194.0,-397.0
Working capital changes,Cash from Operating Activity,-401.0,-364.0,-702.0,-128.0,-454.0,242.0,334.0,-148.0,-165.0
Direct taxes,Cash from Operating Activity,-114.0,-168.0,-54.0,-189.0,-573.0,-239.0,-177.0,-33.0,-331.0
Fixed assets purchased,Cash from Investing Activity,-103.0,-488.0,-564.0,-361.0,-940.0,-1905.0,-1888.0,-2148.0,-2637.0
Investments purchased,Cash from Investing Activity,-74.0,-69.0,0.0,-127.0,-677.0,-370.0,-633.0,0.0,0.0
Investments sold,Cash from Investing Activity,0.0,0.0,133.0,0.0,0.0,0.0,0.0,372.0,592.0
Interest received,Cash from Investing Activity,5.0,11.0,7.0,5.0,25.0,49.0,84.0,0.0,106.0
Dividends received,Cash from Investing Activity,2.0,21.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,52.0,-41.0,3.0,-16.0,-218.0,281.0,-326.0,-129.0,-3.0
