,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-243.0,-634.0,5.0,-241.0,-30.0,472.0,567.0,911.0
Cash from Investing Activity,,-939.0,-933.0,338.0,-2742.0,-3408.0,-99.0,-102.0,-479.0
Cash from Financing Activity,,2858.0,-17.0,-147.0,2902.0,3538.0,-366.0,-432.0,-532.0
Net Cash Flow,,1676.0,-1583.0,196.0,-81.0,100.0,8.0,33.0,-99.0
Free Cash Flow,,-399.0,-847.0,-244.0,-780.0,-624.0,4.0,92.0,-802.0
CFO/OP,,14.0,344.0,-19.0,48.0,-9.0,402.0,158.0,146.0
Profit from operations,Cash from Operating Activity,-47.0,-59.0,62.0,268.0,-22.0,495.0,617.0,900.0
Receivables,Cash from Operating Activity,-83.0,-436.0,-83.0,-332.0,-54.0,-17.0,-120.0,-71.0
Inventory,Cash from Operating Activity,-6.0,-3.0,-8.0,1.0,5.0,3.0,-0.0,-7.0
Payables,Cash from Operating Activity,-38.0,113.0,169.0,263.0,-47.0,10.0,58.0,98.0
Loans Advances,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Other WC items,Cash from Operating Activity,-47.0,-204.0,-117.0,-427.0,160.0,19.0,37.0,16.0
Working capital changes,Cash from Operating Activity,-173.0,-529.0,-40.0,-495.0,64.0,15.0,-25.0,35.0
Direct taxes,Cash from Operating Activity,-23.0,-45.0,-18.0,-13.0,-72.0,-37.0,-25.0,-23.0
Fixed assets purchased,Cash from Investing Activity,-157.0,-214.0,-251.0,-544.0,-601.0,-565.0,-483.0,-1730.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,2.0,4.0,7.0,97.0,7.0,17.0
Investments purchased,Cash from Investing Activity,-1191.0,-4549.0,-920.0,-3223.0,-540.0,-2505.0,-6051.0,-8424.0
Investments sold,Cash from Investing Activity,291.0,4570.0,1022.0,2559.0,592.0,1999.0,5435.0,9135.0
Interest received,Cash from Investing Activity,32.0,95.0,75.0,132.0,105.0,240.0,204.0,199.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,-252.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,-50.0,0.0,0.0
Other investing items,Cash from Investing Activity,85.0,-835.0,409.0,-1419.0,-2972.0,685.0,785.0,324.0
