,parent_line_item,Mar 2020,Mar 2021
Cash from Operating Activity,,-7.0,-11.0
Cash from Investing Activity,,-3.0,-7.0
Cash from Financing Activity,,8.0,16.0
Net Cash Flow,,-2.0,-2.0
Free Cash Flow,,-11.0,-18.0
CFO/OP,,-18.0,-13.0
Profit from operations,Cash from Operating Activity,32.1,40.6
Receivables,Cash from Operating Activity,-23.04,-8.55
Inventory,Cash from Operating Activity,-10.65,-31.0
Payables,Cash from Operating Activity,5.23,7.71
Other WC items,Cash from Operating Activity,-8.03,-13.27
Working capital changes,Cash from Operating Activity,-36.49,-45.11
Interest paid,Cash from Operating Activity,-0.68,-0.21
Direct taxes,Cash from Operating Activity,-1.78,-5.82
Proceeds from shares,Cash from Financing Activity,0.01,0.0
Proceeds from borrowings,Cash from Financing Activity,10.64,22.4
Repayment of borrowings,Cash from Financing Activity,-0.23,-5.4
Interest paid fin,Cash from Financing Activity,-1.99,-1.01
