,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,701.0,605.0,791.0,364.0,997.0,915.0,1031.0
Cash from Investing Activity,,-761.0,-1520.0,-999.0,1211.0,-1749.0,1718.0,138.0
Cash from Financing Activity,,-7.0,1238.0,35.0,15.0,-799.0,-433.0,-417.0
Net Cash Flow,,-67.0,323.0,-174.0,1590.0,-1552.0,2199.0,752.0
Free Cash Flow,,530.0,377.0,269.0,141.0,599.0,521.0,538.0
CFO/OP,,99.0,70.0,79.0,66.0,98.0,100.0,91.0
Profit from operations,Cash from Operating Activity,1025.0,1352.0,1590.0,1093.0,1356.0,1275.0,1741.0
Receivables,Cash from Operating Activity,-81.0,-60.0,-527.0,144.0,-325.0,42.0,-279.0
Inventory,Cash from Operating Activity,156.0,-519.0,90.0,-760.0,666.0,-20.0,19.0
Payables,Cash from Operating Activity,-215.0,138.0,66.0,121.0,-379.0,27.0,-55.0
Loans Advances,Cash from Operating Activity,-1.0,0.0,-0.0,36.0,-5.0,-164.0,84.0
Other WC items,Cash from Operating Activity,60.0,5.0,-21.0,41.0,-10.0,109.0,-23.0
Working capital changes,Cash from Operating Activity,-80.0,-436.0,-393.0,-418.0,-53.0,-6.0,-254.0
Direct taxes,Cash from Operating Activity,-244.0,-311.0,-407.0,-311.0,-306.0,-354.0,-455.0
Fixed assets purchased,Cash from Investing Activity,-195.0,-229.0,-522.0,-223.0,-398.0,-394.0,-494.0
Fixed assets sold,Cash from Investing Activity,24.0,0.0,0.0,0.0,1.0,0.0,1.0
Investments purchased,Cash from Investing Activity,0.0,0.0,-1220.0,-470.0,-265.0,-498.0,-744.0
Investments sold,Cash from Investing Activity,0.0,0.0,1070.0,628.0,265.0,499.0,747.0
Interest received,Cash from Investing Activity,43.0,62.0,131.0,161.0,137.0,156.0,232.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,-1022.0,0.0,0.0
Other investing items,Cash from Investing Activity,-634.0,-1354.0,-458.0,1116.0,-467.0,1954.0,396.0
Proceeds from shares,Cash from Financing Activity,0.0,1242.0,39.0,22.0,1.0,2.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,21.0,5.0,23.0
Repayment of borrowings,Cash from Financing Activity,-1.0,-1.0,-0.0,-0.0,-777.0,-63.0,-94.0
Interest paid fin,Cash from Financing Activity,-6.0,-2.0,-3.0,-6.0,-26.0,-31.0,-32.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-329.0,-297.0
Financial liabilities,Cash from Financing Activity,-0.0,-0.0,-0.0,-0.0,-18.0,-18.0,-17.0
