,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,969.0,1568.0,1406.0,1162.0
Cash from Investing Activity,,-649.0,-1057.0,-1052.0,-888.0
Cash from Financing Activity,,-285.0,-499.0,-332.0,-369.0
Net Cash Flow,,35.0,11.0,22.0,-95.0
Free Cash Flow,,257.0,786.0,229.0,88.0
CFO/OP,,104.0,108.0,107.0,99.0
Profit from operations,Cash from Operating Activity,1220.0,1898.0,1614.0,1492.0
Receivables,Cash from Operating Activity,-111.0,12.0,-69.0,-96.0
Inventory,Cash from Operating Activity,-6.0,-6.0,-10.0,-10.0
Payables,Cash from Operating Activity,50.0,19.0,86.0,48.0
Operating Deposits,Cash from Operating Activity,106.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-25.0,68.0,53.0,-6.0
Working capital changes,Cash from Operating Activity,13.0,94.0,60.0,-64.0
Direct taxes,Cash from Operating Activity,-264.0,-424.0,-269.0,-266.0
Fixed assets purchased,Cash from Investing Activity,-713.0,-783.0,-1184.0,-1076.0
Fixed assets sold,Cash from Investing Activity,0.0,1.0,7.0,1.0
Investments purchased,Cash from Investing Activity,-7232.0,-7154.0,-6413.0,-6450.0
Investments sold,Cash from Investing Activity,7057.0,6910.0,6396.0,6493.0
Interest received,Cash from Investing Activity,46.0,51.0,40.0,16.0
Other investing items,Cash from Investing Activity,192.0,-82.0,102.0,128.0
