,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,320.0,629.0,245.0,1013.0,1322.0,1209.0,1318.0,,
Cash from Investing Activity,,34.0,-217.0,64.0,-384.0,-137.0,-177.0,-118.0,,
Cash from Financing Activity,,-343.0,-208.0,-524.0,-638.0,-1148.0,-840.0,-1264.0,,
Net Cash Flow,,11.0,204.0,-216.0,-8.0,37.0,193.0,-64.0,,
Free Cash Flow,,212.0,581.0,154.0,827.0,1061.0,790.0,939.0,,
CFO/OP,,41.0,110.0,47.0,98.0,116.0,91.0,70.0,,
Profit from operations,Cash from Operating Activity,,569.0,748.0,750.0,805.0,1100.0,1345.0,1618.0,2641.0
Receivables,Cash from Operating Activity,,35.0,-67.0,99.0,-7.0,-125.0,-84.0,-77.0,-467.0
Inventory,Cash from Operating Activity,,521.0,-220.0,-547.0,-491.0,-1220.0,-1284.0,-1384.0,-4493.0
Payables,Cash from Operating Activity,,-329.0,139.0,132.0,-31.0,538.0,752.0,409.0,1010.0
Loans Advances,Cash from Operating Activity,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251.0
Operating borrowings,Cash from Operating Activity,,0.0,-329.0,251.0,79.0,357.0,399.0,87.0,0.0
Other WC items,Cash from Operating Activity,,-368.0,56.0,0.0,43.0,493.0,419.0,794.0,1803.0
Working capital changes,Cash from Operating Activity,,-141.0,-421.0,-64.0,-407.0,42.0,203.0,-171.0,-897.0
Direct taxes,Cash from Operating Activity,,-39.0,-6.0,-57.0,-153.0,-129.0,-226.0,-238.0,-427.0
Proceeds from shares,Cash from Financing Activity,,0.0,0.0,756.0,0.0,0.0,0.0,14.0,15.0
Proceeds from borrowings,Cash from Financing Activity,,416.0,487.0,0.0,75.0,0.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,,-248.0,-305.0,-513.0,-161.0,-215.0,-591.0,-126.0,-423.0
Interest paid fin,Cash from Financing Activity,,-284.0,-271.0,-286.0,-222.0,-229.0,-239.0,-223.0,-263.0
Dividends paid,Cash from Financing Activity,,0.0,0.0,0.0,0.0,0.0,-51.0,-124.0,-152.0
Financial liabilities,Cash from Financing Activity,,-353.0,-254.0,-165.0,-218.0,-194.0,-267.0,-339.0,-439.0
Other financing items,Cash from Financing Activity,,176.0,0.0,0.0,2.0,0.0,0.0,-42.0,0.0
