,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,1675.0,1557.0,2810.0,3416.0,1703.0,4739.0,4832.0,5309.0,735.0,5646.0,2237.0,5362.0
Cash from Investing Activity,,-456.0,-83.0,-4165.0,-738.0,-765.0,-1191.0,-1317.0,-2007.0,-14481.0,-8941.0,-7529.0,-7935.0
Cash from Financing Activity,,-721.0,-900.0,-958.0,-1015.0,-719.0,-629.0,-3956.0,-516.0,2931.0,5689.0,5592.0,-1629.0
Net Cash Flow,,498.0,574.0,-2312.0,1663.0,220.0,2919.0,-441.0,2786.0,-10815.0,2394.0,301.0,-4203.0
Free Cash Flow,,854.0,937.0,1925.0,2332.0,612.0,3132.0,3107.0,3013.0,-3331.0,1685.0,-6293.0,-594.0
CFO/OP,,102.0,104.0,107.0,102.0,71.0,115.0,120.0,96.0,29.0,103.0,44.0,77.0
Profit from operations,Cash from Operating Activity,1949.0,1581.0,3192.0,3806.0,3860.0,4617.0,5245.0,6288.0,4946.0,6367.0,6019.0,6927.0
Receivables,Cash from Operating Activity,-157.0,-94.0,-368.0,-959.0,-570.0,-252.0,244.0,-82.0,-547.0,24.0,-382.0,-21.0
Inventory,Cash from Operating Activity,35.0,-20.0,-100.0,-281.0,-506.0,840.0,420.0,-1122.0,-467.0,-228.0,-513.0,-9.0
Payables,Cash from Operating Activity,137.0,131.0,682.0,1382.0,50.0,63.0,92.0,650.0,-28.0,103.0,-576.0,665.0
Other WC items,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,-2431.0,295.0,-1930.0,-2482.0
Working capital changes,Cash from Operating Activity,15.0,17.0,214.0,142.0,-1026.0,651.0,757.0,-331.0,-3473.0,194.0,-3401.0,-1848.0
Direct taxes,Cash from Operating Activity,-289.0,-42.0,-596.0,-532.0,-1130.0,-530.0,-1170.0,-648.0,-738.0,-916.0,-380.0,282.0
Fixed assets purchased,Cash from Investing Activity,-825.0,-624.0,-914.0,-1088.0,-1108.0,-1667.0,-1734.0,-2334.0,-4232.0,-4482.0,-8687.0,-6344.0
Fixed assets sold,Cash from Investing Activity,3.0,5.0,29.0,3.0,16.0,60.0,8.0,38.0,166.0,521.0,157.0,389.0
Investments purchased,Cash from Investing Activity,0.0,-6.0,-0.0,0.0,0.0,0.0,-9.0,-15.0,0.0,-751.0,-5364.0,0.0
Investments sold,Cash from Investing Activity,92.0,148.0,160.0,121.0,80.0,49.0,27.0,18.0,52.0,53.0,117.0,1932.0
Interest received,Cash from Investing Activity,224.0,263.0,342.0,195.0,234.0,392.0,391.0,278.0,435.0,1004.0,982.0,326.0
Dividends received,Cash from Investing Activity,60.0,0.0,8.0,7.0,1.0,3.0,3.0,4.0,12.0,26.0,15.0,7.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,0.0,46.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,-2354.0,-3898.0,-6621.0
Inter corporate deposits,Cash from Investing Activity,-0.0,-0.0,5.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-2086.0,5.0,0.0
Other investing items,Cash from Investing Activity,-10.0,131.0,-3782.0,23.0,10.0,-29.0,-26.0,4.0,-10914.0,-918.0,9145.0,2377.0
Proceeds from shares,Cash from Financing Activity,43.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,4.0,14.0,10.0,23.0,0.0,8.0,0.0,0.0,0.0,10.0,8.0
Repayment of borrowings,Cash from Financing Activity,-14.0,-3.0,-10.0,-13.0,0.0,0.0,-6.0,0.0,-4.0,-24.0,-1181.0,-657.0
Interest paid fin,Cash from Financing Activity,-33.0,-40.0,-87.0,-156.0,-92.0,-113.0,-113.0,-132.0,-158.0,-234.0,-176.0,-152.0
Dividends paid,Cash from Financing Activity,-617.0,-744.0,-711.0,-715.0,-539.0,-429.0,-3796.0,-333.0,-1795.0,-585.0,-563.0,-565.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-41.0,-54.0,-112.0,-129.0,-837.0,-263.0
Share application money,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8339.0,0.0
Other financing items,Cash from Financing Activity,-99.0,-143.0,-164.0,-142.0,-111.0,-87.0,-9.0,4.0,5000.0,6661.0,0.0,0.0
