,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,216.0,-71.0,98.0,454.0,339.0,494.0,295.0
Cash from Investing Activity,,-128.0,-6.0,-63.0,-334.0,-84.0,-169.0,-263.0
Cash from Financing Activity,,-82.0,74.0,-32.0,-102.0,-205.0,-191.0,-162.0
Net Cash Flow,,5.0,-3.0,4.0,19.0,50.0,134.0,-130.0
Free Cash Flow,,123.0,-118.0,35.0,346.0,152.0,129.0,7.0
CFO/OP,,120.0,-13.0,56.0,158.0,94.0,121.0,57.0
Profit from operations,Cash from Operating Activity,236.0,254.0,347.0,359.0,500.0,525.0,838.0
Receivables,Cash from Operating Activity,20.0,-11.0,-96.0,-18.0,-50.0,-187.0,-175.0
Inventory,Cash from Operating Activity,-22.0,-159.0,-176.0,-80.0,-38.0,-113.0,-760.0
Payables,Cash from Operating Activity,-13.0,-67.0,54.0,240.0,-12.0,334.0,602.0
Other WC items,Cash from Operating Activity,29.0,-47.0,42.0,11.0,36.0,32.0,-56.0
Working capital changes,Cash from Operating Activity,14.0,-284.0,-175.0,153.0,-64.0,66.0,-390.0
Direct taxes,Cash from Operating Activity,-33.0,-42.0,-73.0,-58.0,-97.0,-96.0,-153.0
Fixed assets purchased,Cash from Investing Activity,-93.0,-47.0,-68.0,-108.0,-190.0,-367.0,-291.0
Fixed assets sold,Cash from Investing Activity,1.0,1.0,5.0,1.0,2.0,1.0,2.0
Investments purchased,Cash from Investing Activity,-29.0,-3.0,0.0,-68.0,0.0,0.0,0.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,68.0,195.0,5.0
Interest received,Cash from Investing Activity,3.0,4.0,1.0,2.0,4.0,2.0,3.0
Dividends received,Cash from Investing Activity,4.0,0.0,0.0,1.0,1.0,1.0,1.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-14.0,40.0,-0.0,-160.0,31.0,-1.0,17.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,180.0,8.0,1.0
Proceeds from borrowings,Cash from Financing Activity,60.0,121.0,34.0,32.0,0.0,0.0,10.0
Repayment of borrowings,Cash from Financing Activity,-66.0,-15.0,-11.0,-38.0,-226.0,-67.0,-0.0
Interest paid fin,Cash from Financing Activity,-34.0,-29.0,-22.0,-36.0,-51.0,-54.0,-70.0
Dividends paid,Cash from Financing Activity,-35.0,0.0,-28.0,-50.0,-84.0,-62.0,-85.0
Financial liabilities,Cash from Financing Activity,0.0,-3.0,-4.0,-10.0,-15.0,-17.0,-18.0
Other financing items,Cash from Financing Activity,-7.0,0.0,0.0,0.0,-10.0,0.0,0.0
