,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,0.0,37.0,181.0,194.0,246.0,250.0
Cash from Investing Activity,,0.0,12.0,-26.0,-32.0,-168.0,-198.0
Cash from Financing Activity,,-0.0,-31.0,-154.0,-120.0,-43.0,-22.0
Net Cash Flow,,-0.0,18.0,1.0,43.0,34.0,30.0
Free Cash Flow,,0.0,33.0,167.0,169.0,190.0,163.0
CFO/OP,,11.0,207.0,129.0,99.0,91.0,80.0
Profit from operations,Cash from Operating Activity,-1.0,20.0,155.0,238.0,302.0,339.0
Receivables,Cash from Operating Activity,0.0,13.0,22.0,-15.0,-42.0,-56.0
Inventory,Cash from Operating Activity,1.0,22.0,45.0,-48.0,-9.0,-127.0
Payables,Cash from Operating Activity,-1.0,7.0,-12.0,-15.0,-10.0,49.0
Loans Advances,Cash from Operating Activity,0.0,4.0,0.0,-0.0,0.0,0.0
Other WC items,Cash from Operating Activity,0.0,-28.0,-23.0,37.0,0.0,45.0
Working capital changes,Cash from Operating Activity,1.0,18.0,32.0,-42.0,-61.0,-88.0
Direct taxes,Cash from Operating Activity,0.0,-1.0,-6.0,-1.0,5.0,-1.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.5
Repayment of borrowings,Cash from Financing Activity,0.0,-23.27,-121.78,-96.36,-25.0,0.0
Interest paid fin,Cash from Financing Activity,-0.19,-4.23,-18.42,-9.52,-2.52,-4.38
Financial liabilities,Cash from Financing Activity,-0.09,-2.05,-12.83,-14.19,-15.87,-18.27
Other financing items,Cash from Financing Activity,0.0,-1.85,-0.5,0.0,0.0,0.0
