,parent_line_item,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity,,751.0,884.0,840.0,1290.0
Cash from Investing Activity,,-535.0,-595.0,-25.0,-341.0
Cash from Financing Activity,,-257.0,-386.0,-421.0,-449.0
Net Cash Flow,,-41.0,-96.0,394.0,500.0
Free Cash Flow,,272.0,365.0,97.0,827.0
CFO/OP,,82.0,89.0,80.0,96.0
Profit from operations,Cash from Operating Activity,1310.0,1337.0,1474.0,1834.0
Receivables,Cash from Operating Activity,-237.0,-38.0,-243.0,-449.0
Inventory,Cash from Operating Activity,-160.0,-49.0,-132.0,-337.0
Payables,Cash from Operating Activity,161.0,-53.0,71.0,585.0
Other WC items,Cash from Operating Activity,-9.0,-15.0,-17.0,61.0
Working capital changes,Cash from Operating Activity,-246.0,-155.0,-320.0,-140.0
Direct taxes,Cash from Operating Activity,-314.0,-297.0,-314.0,-403.0
Fixed assets purchased,Cash from Investing Activity,-483.0,-520.0,-744.0,-464.0
Fixed assets sold,Cash from Investing Activity,4.0,1.0,1.0,1.0
Interest received,Cash from Investing Activity,53.0,91.0,88.0,117.0
Other investing items,Cash from Investing Activity,-108.0,-167.0,630.0,5.0
Interest paid fin,Cash from Financing Activity,-4.0,-5.0,-4.0,-5.0
Dividends paid,Cash from Financing Activity,-250.0,-375.0,-406.0,-438.0
Financial liabilities,Cash from Financing Activity,-3.0,-6.0,-10.0,-7.0
