,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,616.0,600.0,328.0,259.0,990.0,1176.0,1797.0,1803.0,2100.0,2022.0
Cash from Investing Activity,,-1052.0,-1098.0,-495.0,-378.0,-1637.0,-801.0,-883.0,-4202.0,-1691.0,-2062.0
Cash from Financing Activity,,387.0,540.0,140.0,226.0,641.0,3.0,-825.0,2504.0,-521.0,227.0
Net Cash Flow,,-49.0,41.0,-27.0,107.0,-6.0,377.0,90.0,105.0,-112.0,186.0
Free Cash Flow,,-424.0,-338.0,-24.0,-400.0,-602.0,669.0,1528.0,1555.0,26.0,-467.0
CFO/OP,,137.0,119.0,67.0,48.0,129.0,117.0,122.0,104.0,105.0,91.0
Profit from operations,Cash from Operating Activity,575.0,697.0,647.0,673.0,873.0,1191.0,1783.0,2165.0,2370.0,2688.0
Receivables,Cash from Operating Activity,-104.0,-271.0,-174.0,-440.0,91.0,-120.0,199.0,-248.0,-73.0,-213.0
Inventory,Cash from Operating Activity,15.0,-16.0,-26.0,-49.0,26.0,14.0,-17.0,-10.0,-19.0,-14.0
Payables,Cash from Operating Activity,128.0,253.0,-83.0,112.0,185.0,60.0,27.0,-29.0,-36.0,23.0
Other WC items,Cash from Operating Activity,88.0,39.0,-6.0,-1.0,-119.0,154.0,-14.0,173.0,132.0,-117.0
Working capital changes,Cash from Operating Activity,126.0,5.0,-289.0,-378.0,183.0,108.0,195.0,-114.0,4.0,-320.0
Direct taxes,Cash from Operating Activity,-85.0,-102.0,-30.0,-36.0,-66.0,-122.0,-181.0,-248.0,-274.0,-347.0
Fixed assets purchased,Cash from Investing Activity,-1040.0,-938.0,-552.0,-659.0,-1723.0,-509.0,-279.0,-249.0,-2076.0,-2492.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,200.0,0.0,130.0,2.0,10.0,0.0,1.0,3.0
Investments purchased,Cash from Investing Activity,-1091.0,-1029.0,-1370.0,-1070.0,-33.0,0.0,-397.0,-380.0,-2303.0,-117.0
Investments sold,Cash from Investing Activity,1069.0,861.0,1179.0,1245.0,115.0,12.0,378.0,503.0,2445.0,331.0
Interest received,Cash from Investing Activity,18.0,8.0,47.0,59.0,31.0,53.0,171.0,139.0,253.0,284.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,-2.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1822.0,-964.0,0.0
Other investing items,Cash from Investing Activity,-9.0,0.0,0.0,46.0,-158.0,-360.0,-765.0,-2389.0,952.0,-69.0
Proceeds from shares,Cash from Financing Activity,0.0,492.0,0.0,0.0,0.0,0.0,0.0,2800.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,611.0,1476.0,763.0,1546.0,1344.0,3511.0,68.0,1003.0,1166.0,2850.0
Repayment of borrowings,Cash from Financing Activity,-136.0,-1325.0,-501.0,-1089.0,-455.0,-3120.0,-573.0,-961.0,-1194.0,-2061.0
Interest paid fin,Cash from Financing Activity,-88.0,-119.0,-122.0,-216.0,-225.0,-362.0,-273.0,-248.0,-306.0,-327.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-116.0,-168.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,-15.0,-22.0,-25.0,-32.0,-40.0,-44.0,-59.0
Other financing items,Cash from Financing Activity,0.0,16.0,-0.0,0.0,0.0,-1.0,-14.0,-50.0,-28.0,-8.0
