,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,13274.0,54367.0,80602.0,-3783.0,54519.0,26548.0,-9145.0,-26211.0
Cash from Investing Activity,,9636.0,-40415.0,148447.0,12531.0,-52848.0,-25695.0,40832.0,34708.0
Cash from Financing Activity,,-13700.0,-18664.0,-256125.0,-0.0,-949.0,-4427.0,-3794.0,-7626.0
Net Cash Flow,,9210.0,-4712.0,-27077.0,8748.0,722.0,-3574.0,27893.0,871.0
Free Cash Flow,,11281.0,53447.0,86765.0,-3879.0,53976.0,25835.0,-9860.0,-27181.0
CFO/OP,,500.0,-908.0,-27549.0,108.0,143.0,64.0,-18.0,-43.0
Operating Deposits,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-243.0
Working capital changes,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-243.0
Direct taxes,Cash from Operating Activity,-16319.0,-8726.0,11176.0,-7374.0,5825.0,5689.0,396.0,-5559.0
Other operating items,Cash from Operating Activity,29593.0,63093.0,69427.0,3592.0,48693.0,20859.0,-9540.0,-20410.0
Repayment of borrowings,Cash from Financing Activity,-14263.0,-15987.0,-253410.0,0.0,0.0,0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-4427.0,-3794.0,0.0
Dividends paid,Cash from Financing Activity,563.0,-2677.0,-2716.0,0.0,-949.0,0.0,0.0,-7626.0
