,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity,,413.0,393.0,473.0,476.0,549.0,596.0,1438.0,980.0,821.0,1516.0,1548.0,1739.0
Cash from Investing Activity,,119.0,14.0,-197.0,-95.0,-8.0,-1001.0,-416.0,-210.0,13.0,-284.0,-663.0,-914.0
Cash from Financing Activity,,-535.0,-314.0,-249.0,-280.0,-250.0,-169.0,-242.0,-602.0,-721.0,-750.0,-682.0,-831.0
Net Cash Flow,,-3.0,93.0,26.0,102.0,290.0,-573.0,780.0,167.0,113.0,482.0,203.0,-6.0
Free Cash Flow,,353.0,257.0,251.0,381.0,488.0,467.0,1397.0,1211.0,702.0,1452.0,1417.0,1576.0
CFO/OP,,118.0,95.0,107.0,99.0,96.0,86.0,151.0,104.0,87.0,113.0,101.0,110.0
Profit from operations,Cash from Operating Activity,558.0,591.0,637.0,741.0,825.0,881.0,1142.0,1340.0,1446.0,1651.0,1923.0,2097.0
Receivables,Cash from Operating Activity,-85.0,-150.0,-93.0,-127.0,-238.0,-161.0,252.0,-368.0,-588.0,-22.0,-435.0,-160.0
Payables,Cash from Operating Activity,54.0,74.0,73.0,37.0,122.0,33.0,188.0,210.0,205.0,144.0,372.0,170.0
Working capital changes,Cash from Operating Activity,-31.0,-76.0,-20.0,-90.0,-117.0,-127.0,441.0,-158.0,-382.0,122.0,-63.0,10.0
Direct taxes,Cash from Operating Activity,-114.0,-122.0,-145.0,-175.0,-159.0,-157.0,-145.0,-202.0,-244.0,-258.0,-312.0,-368.0
Fixed assets purchased,Cash from Investing Activity,-60.0,-137.0,-222.0,-96.0,-61.0,-130.0,-74.0,-109.0,-119.0,-64.0,-133.0,-168.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,33.0,341.0,0.0,1.0,2.0,4.0
Investments purchased,Cash from Investing Activity,-2487.0,-941.0,-716.0,-377.0,-329.0,-112.0,-30.0,-460.0,-780.0,-620.0,-1705.0,-1405.0
Investments sold,Cash from Investing Activity,2639.0,1085.0,738.0,377.0,338.0,122.0,1.0,1.0,905.0,378.0,1970.0,1272.0
Interest received,Cash from Investing Activity,14.0,2.0,1.0,1.0,5.0,7.0,6.0,3.0,1.0,6.0,24.0,45.0
Dividends received,Cash from Investing Activity,13.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-359.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,0.0,0.0,2.0,-1.0,37.0,-889.0,6.0,14.0,6.0,16.0,-821.0,-663.0
Proceeds from shares,Cash from Financing Activity,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
Redemption of debentures,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,141.0,51.0,0.0,121.0,0.0,293.0,0.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-194.0,-41.0,-84.0,-293.0,0.0
Interest paid fin,Cash from Financing Activity,-0.0,-0.0,-0.0,-0.0,-0.0,-5.0,-16.0,-7.0,-6.0,-14.0,-14.0,-24.0
Dividends paid,Cash from Financing Activity,-540.0,-317.0,-251.0,-143.0,-251.0,-305.0,-209.0,-241.0,-664.0,-531.0,-531.0,-700.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-68.0,-92.0,-86.0,-103.0,-137.0,-167.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,-138.0,0.0,0.0,0.0,0.0,-46.0,-19.0,0.0,0.0
