,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-110.0,587.0,352.0,152.0,795.0,-793.0,-118.0,871.0,-1070.0
Cash from Investing Activity,,-118.0,0.0,21.0,148.0,-86.0,163.0,-74.0,-177.0,314.0
Cash from Financing Activity,,462.0,-494.0,-514.0,-361.0,108.0,-296.0,430.0,-490.0,568.0
Net Cash Flow,,234.0,93.0,-141.0,-62.0,817.0,-925.0,239.0,204.0,-187.0
Free Cash Flow,,-208.0,527.0,423.0,89.0,822.0,-798.0,-138.0,922.0,-936.0
CFO/OP,,-0.0,166.0,122.0,59.0,161.0,-146.0,7.0,96.0,-102.0
Profit from operations,Cash from Operating Activity,379.0,418.0,465.0,367.0,594.0,571.0,1035.0,1311.0,1180.0
Receivables,Cash from Operating Activity,-1.0,-1.0,-4.0,-7.0,-1.0,-8.0,-10.0,-27.0,-30.0
Inventory,Cash from Operating Activity,0.0,0.0,14.0,11.0,2.0,0.0,0.0,0.0,0.0
Payables,Cash from Operating Activity,-16.0,-30.0,-23.0,-32.0,-36.0,-91.0,15.0,-236.0,-218.0
Loans Advances,Cash from Operating Activity,-82.0,-352.0,409.0,-74.0,-375.0,-17.0,-426.0,-14.0,-514.0
Other WC items,Cash from Operating Activity,-281.0,644.0,-463.0,-55.0,693.0,-1150.0,-550.0,41.0,-1286.0
Working capital changes,Cash from Operating Activity,-380.0,262.0,-68.0,-157.0,283.0,-1266.0,-971.0,-237.0,-2048.0
Direct taxes,Cash from Operating Activity,-109.0,-94.0,-45.0,-58.0,-82.0,-98.0,-182.0,-203.0,-201.0
Fixed assets purchased,Cash from Investing Activity,-97.0,-60.0,-61.0,-153.0,-18.0,-13.0,-31.0,-48.0,-28.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,132.0,90.0,45.0,8.0,11.0,99.0,162.0
Investments purchased,Cash from Investing Activity,0.0,0.0,-945.0,-773.0,-399.0,-5.0,-58.0,-223.0,-46.0
Investments sold,Cash from Investing Activity,80.0,20.0,847.0,962.0,297.0,148.0,39.0,1.0,205.0
Interest received,Cash from Investing Activity,66.0,18.0,36.0,13.0,11.0,3.0,5.0,10.0,21.0
Dividends received,Cash from Investing Activity,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,4.0
Other investing items,Cash from Investing Activity,-167.0,22.0,11.0,4.0,-24.0,23.0,-39.0,-16.0,-3.0
