,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,6.0,93.0,-3.0,51.0,198.0,237.0,226.0,289.0,-21.0
Cash from Investing Activity,,7.0,-39.0,-6.0,-28.0,-27.0,-85.0,-154.0,-443.0,-418.0
Cash from Financing Activity,,-5.0,-5.0,-8.0,-5.0,-16.0,-14.0,115.0,365.0,441.0
Net Cash Flow,,8.0,49.0,-18.0,17.0,156.0,138.0,188.0,210.0,3.0
Free Cash Flow,,5.0,75.0,-12.0,43.0,184.0,230.0,188.0,236.0,-87.0
CFO/OP,,34.0,231.0,11.0,-255.0,674.0,138.0,97.0,112.0,9.0
Profit from operations,Cash from Operating Activity,55.0,42.0,101.0,-12.0,48.0,204.0,268.0,332.0,400.0
Receivables,Cash from Operating Activity,-86.0,-85.0,83.0,169.0,-397.0,-996.0,-1000.0,-574.0,-726.0
Payables,Cash from Operating Activity,84.0,131.0,-237.0,-92.0,536.0,1008.0,1075.0,510.0,355.0
Other WC items,Cash from Operating Activity,-35.0,18.0,61.0,-11.0,27.0,45.0,-91.0,51.0,2.0
Working capital changes,Cash from Operating Activity,-37.0,65.0,-92.0,66.0,167.0,56.0,-15.0,-12.0,-368.0
Direct taxes,Cash from Operating Activity,-11.0,-14.0,-13.0,-4.0,-16.0,-23.0,-26.0,-31.0,-53.0
Fixed assets purchased,Cash from Investing Activity,-1.0,-18.0,-9.0,-7.0,-14.0,-7.0,-38.0,-53.0,-67.0
Fixed assets sold,Cash from Investing Activity,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
Investments purchased,Cash from Investing Activity,-0.0,-0.0,-0.0,-204.0,-356.0,-0.0,-986.0,-1378.0,-315.0
Investments sold,Cash from Investing Activity,-0.0,0.0,1.0,177.0,340.0,-0.0,988.0,1213.0,247.0
Interest received,Cash from Investing Activity,3.0,3.0,4.0,9.0,7.0,7.0,12.0,35.0,32.0
Dividends received,Cash from Investing Activity,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
Investment in group cos,Cash from Investing Activity,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Acquisition of companies,Cash from Investing Activity,-0.0,-0.0,-0.0,-0.0,-0.0,-90.0,-127.0,-35.0,-381.0
Other investing items,Cash from Investing Activity,5.0,-24.0,-2.0,-2.0,-3.0,6.0,-2.0,-225.0,66.0
