,parent_line_item,Mar 2025,Mar 2026
Cash from Operating Activity,,158.0,-253.0
Cash from Investing Activity,,-109.0,-461.0
Cash from Financing Activity,,-45.0,788.0
Net Cash Flow,,4.0,74.0
Free Cash Flow,,92.0,-314.0
CFO/OP,,145.0,-116.0
Profit from operations,Cash from Operating Activity,142.0,214.0
Receivables,Cash from Operating Activity,-65.0,47.0
Inventory,Cash from Operating Activity,63.0,-288.0
Payables,Cash from Operating Activity,45.0,76.0
Operating borrowings,Cash from Operating Activity,-8.0,0.0
Other WC items,Cash from Operating Activity,18.0,-268.0
Working capital changes,Cash from Operating Activity,54.0,-433.0
Direct taxes,Cash from Operating Activity,-38.0,-34.0
Fixed assets purchased,Cash from Investing Activity,-67.0,-81.0
Fixed assets sold,Cash from Investing Activity,0.0,19.0
Investments purchased,Cash from Investing Activity,-39.0,-80.0
Interest received,Cash from Investing Activity,15.0,14.0
Inter corporate deposits,Cash from Investing Activity,-18.0,-73.0
Other investing items,Cash from Investing Activity,0.0,-260.0
Proceeds from shares,Cash from Financing Activity,3.0,862.0
Proceeds from borrowings,Cash from Financing Activity,11.0,2.0
Repayment of borrowings,Cash from Financing Activity,-28.0,-26.0
Interest paid fin,Cash from Financing Activity,-6.0,-9.0
Dividends paid,Cash from Financing Activity,-23.0,-33.0
Other financing items,Cash from Financing Activity,-2.0,-8.0
