,parent_line_item,Jun 2006,Jun 2007,Jun 2008,Jun 2009,Jun 2010,Mar 2026
Cash from Operating Activity,,33.0,70.0,58.0,54.0,45.0,247.0
Cash from Investing Activity,,-11.0,-0.0,-13.0,-29.0,-17.0,-190.0
Cash from Financing Activity,,-8.0,-71.0,-34.0,-37.0,-11.0,-228.0
Net Cash Flow,,14.0,-1.0,11.0,-12.0,17.0,-171.0
Free Cash Flow,,18.0,66.0,39.0,20.0,24.0,36.0
CFO/OP,,73.0,110.0,152.0,94.0,65.0,67.0
Profit from operations,Cash from Operating Activity,56.0,85.0,53.0,73.0,125.0,526.0
Receivables,Cash from Operating Activity,-30.0,18.0,-76.0,-1.0,-97.0,-110.0
Inventory,Cash from Operating Activity,39.0,2.0,9.0,-20.0,-38.0,0.0
Payables,Cash from Operating Activity,-32.0,-25.0,78.0,15.0,90.0,-160.0
Operating investments,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,1.0
Other WC items,Cash from Operating Activity,0.0,0.0,0.0,-2.0,0.0,94.0
Working capital changes,Cash from Operating Activity,-22.0,-6.0,11.0,-7.0,-45.0,-175.0
Direct taxes,Cash from Operating Activity,-0.0,-9.0,-12.0,-9.0,-36.0,-105.0
Exceptional CF items,Cash from Operating Activity,0.0,0.0,6.0,-2.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-17.0,-5.0,-19.0,-35.0,-21.0,-211.0
Fixed assets sold,Cash from Investing Activity,2.0,0.0,0.0,0.0,0.0,0.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,-3807.0
Investments sold,Cash from Investing Activity,1.0,0.0,0.0,0.0,0.0,3801.0
Interest received,Cash from Investing Activity,1.0,2.0,3.0,3.0,2.0,27.0
Dividends received,Cash from Investing Activity,0.0,2.0,3.0,3.0,2.0,0.0
Other investing items,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0
