,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,257.0,283.0,360.0,306.0,362.0,327.0,608.0,513.0,283.0,522.0
Cash from Investing Activity,,-319.0,-210.0,-359.0,-138.0,-95.0,-209.0,-683.0,-625.0,-1643.0,-1313.0
Cash from Financing Activity,,78.0,-60.0,-18.0,-128.0,-296.0,-120.0,73.0,148.0,1393.0,827.0
Net Cash Flow,,16.0,12.0,-17.0,40.0,-28.0,-2.0,-2.0,36.0,34.0,36.0
Free Cash Flow,,-64.0,71.0,-0.0,167.0,266.0,117.0,268.0,-115.0,-706.0,-647.0
CFO/OP,,114.0,100.0,87.0,82.0,88.0,68.0,100.0,75.0,43.0,50.0
Profit from operations,Cash from Operating Activity,233.0,275.0,418.0,374.0,418.0,516.0,670.0,853.0,785.0,1211.0
Receivables,Cash from Operating Activity,-79.0,-27.0,-6.0,19.0,-40.0,-53.0,-83.0,-31.0,-162.0,-176.0
Inventory,Cash from Operating Activity,-44.0,-72.0,-23.0,-3.0,-82.0,-226.0,-82.0,-209.0,-143.0,-411.0
Payables,Cash from Operating Activity,150.0,61.0,-28.0,-38.0,71.0,110.0,140.0,91.0,102.0,118.0
Other WC items,Cash from Operating Activity,0.0,58.0,24.0,-24.0,17.0,17.0,36.0,-43.0,-224.0,-130.0
Working capital changes,Cash from Operating Activity,26.0,20.0,-33.0,-46.0,-33.0,-152.0,11.0,-192.0,-428.0,-598.0
Direct taxes,Cash from Operating Activity,-3.0,-12.0,-25.0,-22.0,-23.0,-37.0,-73.0,-148.0,-74.0,-91.0
Fixed assets purchased,Cash from Investing Activity,-322.0,-212.0,-361.0,-140.0,-99.0,-213.0,-345.0,-631.0,-992.0,-1188.0
Fixed assets sold,Cash from Investing Activity,1.0,0.0,1.0,1.0,3.0,3.0,6.0,3.0,2.0,20.0
Investments purchased,Cash from Investing Activity,0.0,-1.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-5.0,-4.0
Interest received,Cash from Investing Activity,2.0,2.0,2.0,1.0,1.0,1.0,7.0,2.0,13.0,5.0
Other investing items,Cash from Investing Activity,-0.0,0.0,-0.0,0.0,0.0,-0.0,-350.0,1.0,-661.0,-146.0
