,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,85.0,124.0,45.0,184.0,292.0,51.0,106.0,351.0,118.0,299.0
Cash from Investing Activity,,-95.0,-92.0,-33.0,-374.0,-187.0,-27.0,-6.0,-137.0,-90.0,-152.0
Cash from Financing Activity,,9.0,-13.0,-5.0,223.0,-112.0,-51.0,-94.0,-186.0,-23.0,-138.0
Net Cash Flow,,-2.0,20.0,6.0,33.0,-7.0,-28.0,6.0,28.0,5.0,9.0
Free Cash Flow,,21.0,86.0,-4.0,-39.0,200.0,-22.0,40.0,286.0,12.0,190.0
CFO/OP,,97.0,91.0,55.0,158.0,140.0,116.0,66.0,184.0,57.0,111.0
Profit from operations,Cash from Operating Activity,102.0,164.0,128.0,138.0,216.0,56.0,174.0,224.0,316.0,319.0
Receivables,Cash from Operating Activity,-23.0,-64.0,-52.0,44.0,-62.0,-45.0,-102.0,-49.0,30.0,-4.0
Inventory,Cash from Operating Activity,-26.0,-74.0,-85.0,11.0,-79.0,-114.0,3.0,34.0,-130.0,36.0
Payables,Cash from Operating Activity,39.0,120.0,80.0,11.0,187.0,157.0,18.0,156.0,-24.0,37.0
Loans Advances,Cash from Operating Activity,-9.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Other WC items,Cash from Operating Activity,16.0,0.0,0.0,-10.0,37.0,2.0,15.0,-4.0,-29.0,-37.0
Working capital changes,Cash from Operating Activity,-3.0,-19.0,-58.0,56.0,83.0,-0.0,-65.0,137.0,-154.0,32.0
Direct taxes,Cash from Operating Activity,-14.0,-21.0,-26.0,-10.0,-7.0,-6.0,-3.0,-10.0,-45.0,-52.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,263.0,495.0,98.0,37.0,28.0,2.0,73.0,3.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,-264.0,-239.0,-155.0,-34.0,-68.0,-132.0,-39.0,-86.0
Interest paid fin,Cash from Financing Activity,-4.0,-4.0,-4.0,-6.0,-25.0,-20.0,-26.0,-24.0,-19.0,-17.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,-27.0,-30.0,-35.0,-28.0,-32.0,-37.0,-39.0
Other financing items,Cash from Financing Activity,12.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
