,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,1318.0,1457.0,1729.0,593.0,1336.0,835.0,269.0,1214.0,1258.0,2373.0,2175.0
Cash from Investing Activity,,-995.0,1246.0,-1170.0,1766.0,-873.0,-463.0,-32.0,262.0,277.0,-1955.0,-584.0
Cash from Financing Activity,,-356.0,-2670.0,-325.0,-2531.0,-399.0,-338.0,-383.0,-1239.0,-1452.0,-529.0,-1550.0
Net Cash Flow,,-33.0,33.0,234.0,-172.0,64.0,34.0,-146.0,236.0,84.0,-110.0,41.0
Free Cash Flow,,898.0,825.0,1245.0,13.0,913.0,640.0,-143.0,574.0,932.0,2061.0,1864.0
CFO/OP,,104.0,111.0,115.0,64.0,121.0,95.0,37.0,89.0,93.0,115.0,111.0
Profit from operations,Cash from Operating Activity,1815.0,1796.0,1946.0,2064.0,777.0,472.0,1473.0,1826.0,2160.0,2338.0,2704.0
Receivables,Cash from Operating Activity,-139.0,20.0,-484.0,34.0,130.0,-17.0,-147.0,-378.0,-299.0,-334.0,-314.0
Inventory,Cash from Operating Activity,81.0,-90.0,-45.0,-218.0,282.0,-183.0,-431.0,-174.0,10.0,-111.0,-120.0
Payables,Cash from Operating Activity,108.0,171.0,668.0,-428.0,37.0,645.0,8.0,481.0,-180.0,459.0,408.0
Loans Advances,Cash from Operating Activity,-3.0,8.0,8.0,5.0,-6.0,11.0,2.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,100.0,276.0,313.0,-81.0,577.0,175.0,-370.0,-138.0,263.0,310.0,273.0
Working capital changes,Cash from Operating Activity,148.0,385.0,459.0,-689.0,1020.0,632.0,-937.0,-209.0,-206.0,324.0,247.0
Direct taxes,Cash from Operating Activity,-645.0,-725.0,-676.0,-782.0,-461.0,-270.0,-266.0,-403.0,-696.0,-289.0,-775.0
Fixed assets purchased,Cash from Investing Activity,-426.0,-637.0,-492.0,-585.0,-436.0,-200.0,-466.0,-641.0,-330.0,-315.0,-316.0
Fixed assets sold,Cash from Investing Activity,7.0,5.0,9.0,5.0,12.0,5.0,54.0,2.0,3.0,3.0,6.0
Investments purchased,Cash from Investing Activity,-1777.0,-2906.0,-2671.0,-3780.0,-2458.0,-1908.0,-3615.0,-4912.0,-5375.0,-7969.0,-8407.0
Investments sold,Cash from Investing Activity,932.0,3866.0,1700.0,5357.0,2534.0,1401.0,3436.0,5720.0,5528.0,6617.0,7679.0
Interest received,Cash from Investing Activity,307.0,318.0,270.0,272.0,262.0,288.0,228.0,225.0,367.0,332.0,423.0
Dividends received,Cash from Investing Activity,6.0,8.0,7.0,7.0,7.0,7.0,9.0,12.0,18.0,14.0,19.0
Loans to subsidiaries,Cash from Investing Activity,-25.0,-26.0,-44.0,-95.0,-148.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,-3.0,-1.0,-16.0,0.0,0.0,0.0,0.0
Inter corporate deposits,Cash from Investing Activity,-90.0,-65.0,-110.0,5.0,35.0,-15.0,130.0,115.0,270.0,250.0,0.0
Other investing items,Cash from Investing Activity,72.0,682.0,162.0,579.0,-678.0,-40.0,208.0,-259.0,-205.0,-886.0,13.0
