,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,17.0,-58.0,26.0,-32.0,148.0,32.0
Cash from Investing Activity,,-3.0,-8.0,-21.0,-134.0,-417.0,-354.0
Cash from Financing Activity,,-12.0,69.0,-6.0,249.0,274.0,315.0
Net Cash Flow,,2.0,4.0,-1.0,83.0,5.0,-7.0
Free Cash Flow,,14.0,-65.0,5.0,-166.0,-268.0,-175.0
CFO/OP,,159.0,-161.0,52.0,-12.0,73.0,15.0
Profit from operations,Cash from Operating Activity,17.0,37.0,61.0,106.0,216.0,303.0
Receivables,Cash from Operating Activity,-32.0,-81.0,-92.0,-8.0,-109.0,-191.0
Inventory,Cash from Operating Activity,-10.0,-22.0,8.0,-55.0,-9.0,-47.0
Payables,Cash from Operating Activity,43.0,7.0,40.0,6.0,89.0,-19.0
Other WC items,Cash from Operating Activity,1.0,0.0,9.0,-64.0,-4.0,0.0
Working capital changes,Cash from Operating Activity,2.0,-96.0,-35.0,-121.0,-32.0,-257.0
Direct taxes,Cash from Operating Activity,-2.0,2.0,0.0,-17.0,-35.0,-14.0
Fixed assets purchased,Cash from Investing Activity,-3.0,-8.0,-21.0,-134.0,-416.0,-207.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,-0.0,0.0
Other investing items,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,-147.0
Proceeds from shares,Cash from Financing Activity,20.0,52.0,0.0,262.0,296.0,247.0
Proceeds from borrowings,Cash from Financing Activity,0.0,26.0,5.0,13.0,0.0,96.0
Repayment of borrowings,Cash from Financing Activity,-28.0,-3.0,0.0,-16.0,-13.0,-5.0
Interest paid fin,Cash from Financing Activity,-7.0,-5.0,-11.0,-14.0,-11.0,-16.0
Dividends paid,Cash from Financing Activity,0.0,-1.0,0.0,0.0,-2.0,-2.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-5.0
Other financing items,Cash from Financing Activity,2.0,0.0,0.0,3.0,3.0,0.0
