,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Cash from Operating Activity,,-20.0,-51.0,-271.0,-476.0,-951.0
Cash from Investing Activity,,-0.0,-5.0,-2.0,16.0,14.0
Cash from Financing Activity,,38.0,46.0,440.0,408.0,1025.0
Net Cash Flow,,17.0,-10.0,167.0,-53.0,88.0
Free Cash Flow,,-20.0,-53.0,-276.0,-481.0,-957.0
CFO/OP,,-57.0,-123.0,-465.0,-332.0,-295.0
Profit from operations,Cash from Operating Activity,26.0,36.0,55.0,131.0,291.0
Receivables,Cash from Operating Activity,0.0,1.0,0.0,0.0,0.0
Payables,Cash from Operating Activity,0.0,0.0,3.0,1.0,1.0
Loans Advances,Cash from Operating Activity,-31.0,-67.0,-291.0,-522.0,-1107.0
Other WC items,Cash from Operating Activity,0.0,-0.0,-4.0,-1.0,10.0
Working capital changes,Cash from Operating Activity,-30.0,-66.0,-292.0,-521.0,-1097.0
Interest paid,Cash from Operating Activity,-11.0,-13.0,-22.0,-56.0,-77.0
Direct taxes,Cash from Operating Activity,-5.0,-7.0,-12.0,-29.0,-68.0
Fixed assets purchased,Cash from Investing Activity,-0.42,-1.64,-5.47,-4.48,-5.85
Fixed assets sold,Cash from Investing Activity,0.02,0.0,0.07,0.04,0.15
Investments purchased,Cash from Investing Activity,0.0,-3.85,-0.34,0.0,0.0
Investments sold,Cash from Investing Activity,0.57,0.0,1.25,12.05,5.9
Interest received,Cash from Investing Activity,0.0,0.0,2.03,0.0,0.0
Other investing items,Cash from Investing Activity,-0.5,0.38,0.0,8.23,13.97
Proceeds from shares,Cash from Financing Activity,16.0,6.0,114.0,318.0,619.0
Proceeds from debentures,Cash from Financing Activity,2.0,30.0,0.0,0.0,0.0
Redemption of debentures,Cash from Financing Activity,-7.0,-6.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,28.0,25.0,326.0,222.0,636.0
Repayment of borrowings,Cash from Financing Activity,0.0,-7.0,0.0,-128.0,-225.0
Dividends paid,Cash from Financing Activity,-2.0,-2.0,0.0,0.0,0.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,-4.0,-5.0
