,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,1693.0,781.0,726.0,1198.0,663.0,289.0,2150.0,3928.0
Cash from Investing Activity,,-934.0,-506.0,-484.0,-3786.0,524.0,138.0,-278.0,-1066.0
Cash from Financing Activity,,-762.0,-8.0,-531.0,2658.0,-919.0,-847.0,-1544.0,-1678.0
Net Cash Flow,,-3.0,267.0,-289.0,70.0,268.0,-419.0,328.0,1184.0
Free Cash Flow,,785.0,151.0,265.0,663.0,-11.0,-641.0,1190.0,3104.0
CFO/OP,,162.0,69.0,77.0,83.0,86.0,40.0,98.0,201.0
Profit from operations,Cash from Operating Activity,990.0,1397.0,1095.0,1693.0,1508.0,1071.0,2495.0,2465.0
Receivables,Cash from Operating Activity,-71.0,340.0,-597.0,-666.0,269.0,143.0,-638.0,-179.0
Inventory,Cash from Operating Activity,-294.0,215.0,-900.0,-2491.0,-5.0,467.0,-1454.0,576.0
Payables,Cash from Operating Activity,1633.0,-1279.0,526.0,3182.0,-570.0,-1553.0,1837.0,1198.0
Loans Advances,Cash from Operating Activity,-9.0,-4.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
Other WC items,Cash from Operating Activity,-422.0,233.0,897.0,-276.0,-376.0,324.0,209.0,227.0
Working capital changes,Cash from Operating Activity,837.0,-495.0,-75.0,-252.0,-681.0,-620.0,-47.0,1822.0
Direct taxes,Cash from Operating Activity,-134.0,-121.0,-294.0,-244.0,-163.0,-162.0,-299.0,-359.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,3507.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,875.0,572.0,249.0,712.0,0.0,0.0,173.0,251.0
Repayment of borrowings,Cash from Financing Activity,-1280.0,-143.0,-412.0,-1203.0,-377.0,-106.0,-905.0,-1260.0
Interest paid fin,Cash from Financing Activity,-338.0,-404.0,-336.0,-319.0,-467.0,-692.0,-637.0,-573.0
Financial liabilities,Cash from Financing Activity,-20.0,-32.0,-33.0,-38.0,-56.0,-49.0,-52.0,-61.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,0.0,-19.0,-0.0,-122.0,-35.0
