,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,17.0,1616.0,1999.0,2386.0
Cash from Investing Activity,,-10304.0,-9218.0,-17793.0,-12117.0
Cash from Financing Activity,,10360.0,7645.0,15715.0,9796.0
Net Cash Flow,,73.0,43.0,-80.0,66.0
Free Cash Flow,,-734.0,-7937.0,-9986.0,-12832.0
CFO/OP,,11.0,93.0,104.0,97.0
Profit from operations,Cash from Operating Activity,146.0,1696.0,1874.0,2410.0
Receivables,Cash from Operating Activity,68.0,-365.0,189.0,-98.0
Inventory,Cash from Operating Activity,2.0,-13.0,-7.0,-4.0
Payables,Cash from Operating Activity,14.0,-40.0,27.0,75.0
Other WC items,Cash from Operating Activity,-214.0,340.0,-81.0,8.0
Working capital changes,Cash from Operating Activity,-129.0,-77.0,127.0,-20.0
Direct taxes,Cash from Operating Activity,0.0,-3.0,-3.0,-4.0
Fixed assets purchased,Cash from Investing Activity,-751.0,-9553.0,-11985.0,-15266.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,48.0
Investments purchased,Cash from Investing Activity,-78.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,1.0,52.0,157.0,240.0
Investment in group cos,Cash from Investing Activity,-1094.0,-0.0,-3201.0,-319.0
Other investing items,Cash from Investing Activity,-8382.0,282.0,-2764.0,3180.0
Proceeds from shares,Cash from Financing Activity,5083.0,1000.0,11780.0,0.0
Proceeds from borrowings,Cash from Financing Activity,5384.0,7689.0,9946.0,15732.0
Repayment of borrowings,Cash from Financing Activity,0.0,-310.0,-4771.0,-4446.0
Interest paid fin,Cash from Financing Activity,-50.0,-685.0,-1240.0,-1539.0
Financial liabilities,Cash from Financing Activity,-57.0,-49.0,-63.0,-84.0
Other financing items,Cash from Financing Activity,0.0,0.0,62.0,133.0
