,parent_line_item,Mar 2025,Mar 2026
Cash from Operating Activity,,-666.0,-199.0
Cash from Investing Activity,,-84.0,-239.0
Cash from Financing Activity,,740.0,497.0
Net Cash Flow,,-10.0,59.0
Free Cash Flow,,-828.0,-276.0
CFO/OP,,-869.0,-52.0
Profit from operations,Cash from Operating Activity,126.0,485.0
Receivables,Cash from Operating Activity,-3.0,-2.0
Inventory,Cash from Operating Activity,-661.0,-1019.0
Payables,Cash from Operating Activity,-42.0,2.0
Loans Advances,Cash from Operating Activity,0.0,0.0
Operating borrowings,Cash from Operating Activity,-56.0,-102.0
Other WC items,Cash from Operating Activity,-21.0,435.0
Working capital changes,Cash from Operating Activity,-784.0,-686.0
Direct taxes,Cash from Operating Activity,-8.0,2.0
Fixed assets purchased,Cash from Investing Activity,-163.0,-99.0
Fixed assets sold,Cash from Investing Activity,1.0,22.0
Investments purchased,Cash from Investing Activity,-340.0,-110.0
Investments sold,Cash from Investing Activity,293.0,121.0
Interest received,Cash from Investing Activity,37.0,34.0
Acquisition of companies,Cash from Investing Activity,-10.0,0.0
Other investing items,Cash from Investing Activity,99.0,-207.0
Proceeds from shares,Cash from Financing Activity,109.0,786.0
Proceeds from borrowings,Cash from Financing Activity,825.0,2072.0
Repayment of borrowings,Cash from Financing Activity,-527.0,-2056.0
Interest paid fin,Cash from Financing Activity,-153.0,-142.0
Financial liabilities,Cash from Financing Activity,-113.0,-163.0
Other financing items,Cash from Financing Activity,598.0,0.0
