,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity,,548.0,740.0,664.0,608.0,549.0,879.0,893.0,630.0,916.0,853.0,1044.0,1090.0
Cash from Investing Activity,,-14.0,2.0,-33.0,151.0,66.0,-448.0,-201.0,-83.0,62.0,-251.0,-265.0,199.0
Cash from Financing Activity,,-697.0,-478.0,-568.0,-656.0,-567.0,-628.0,-564.0,-558.0,-608.0,-664.0,-819.0,-1315.0
Net Cash Flow,,-163.0,264.0,63.0,104.0,48.0,-196.0,128.0,-10.0,370.0,-61.0,-40.0,-26.0
Free Cash Flow,,497.0,703.0,641.0,573.0,472.0,780.0,869.0,547.0,806.0,761.0,951.0,996.0
CFO/OP,,111.0,119.0,104.0,97.0,89.0,103.0,139.0,85.0,107.0,98.0,106.0,107.0
Profit from operations,Cash from Operating Activity,737.0,955.0,1018.0,1063.0,1098.0,1176.0,829.0,1093.0,1159.0,1242.0,1321.0,1345.0
Receivables,Cash from Operating Activity,-36.0,34.0,-43.0,-143.0,-17.0,-59.0,279.0,-151.0,-14.0,-73.0,-16.0,-37.0
Inventory,Cash from Operating Activity,9.0,61.0,-39.0,24.0,-137.0,152.0,-62.0,-125.0,-43.0,2.0,9.0,-22.0
Payables,Cash from Operating Activity,65.0,3.0,108.0,53.0,6.0,-80.0,87.0,93.0,87.0,88.0,53.0,133.0
Loans Advances,Cash from Operating Activity,-1.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,21.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,-8.0,19.0
Working capital changes,Cash from Operating Activity,58.0,113.0,25.0,-65.0,-149.0,13.0,304.0,-183.0,30.0,-71.0,37.0,92.0
Direct taxes,Cash from Operating Activity,-247.0,-328.0,-379.0,-389.0,-400.0,-309.0,-240.0,-280.0,-274.0,-319.0,-314.0,-348.0
Interest paid fin,Cash from Financing Activity,-2.0,-1.0,-2.0,-1.0,-1.0,-1.0,-4.0,-2.0,-3.0,-7.0,-9.0,-9.0
Dividends paid,Cash from Financing Activity,-346.0,-396.0,-471.0,-544.0,-470.0,-520.0,-544.0,-542.0,-593.0,-643.0,-791.0,-1286.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,-13.0,-11.0,-14.0,-19.0,-20.0
Other financing items,Cash from Financing Activity,-348.0,-81.0,-96.0,-111.0,-97.0,-107.0,0.0,0.0,0.0,0.0,0.0,0.0
