,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,66.0,6.0,16.0,-13.0,17.0,25.0,0.0
Cash from Investing Activity,,-19.0,-27.0,-18.0,-25.0,-146.0,54.0,0.0
Cash from Financing Activity,,-42.0,28.0,-21.0,452.0,-251.0,-52.0,0.0
Net Cash Flow,,4.0,7.0,-24.0,414.0,-380.0,26.0,0.0
Free Cash Flow,,49.0,-14.0,-2.0,-41.0,-18.0,-21.0,0.0
CFO/OP,,109.0,14.0,29.0,5.0,54.0,39.0,0.0
Profit from operations,Cash from Operating Activity,82.53,65.1,108.7,118.39,75.09,132.72,0.0
Receivables,Cash from Operating Activity,57.68,-69.45,6.35,-24.27,19.26,-129.07,0.0
Inventory,Cash from Operating Activity,-8.13,9.1,-81.25,-86.17,2.42,-20.13,0.0
Payables,Cash from Operating Activity,-30.11,-4.87,1.07,16.8,-45.07,83.92,0.0
Other WC items,Cash from Operating Activity,-31.55,9.17,-6.69,-18.63,-18.0,-22.98,0.0
Working capital changes,Cash from Operating Activity,-12.11,-56.05,-80.52,-112.27,-41.39,-88.26,0.0
Direct taxes,Cash from Operating Activity,-4.69,-3.53,-12.52,-19.36,-16.41,-19.41,0.0
Fixed assets purchased,Cash from Investing Activity,-17.04,-19.21,-17.74,-27.42,-35.52,-46.18,0.0
Investments purchased,Cash from Investing Activity,-2.35,0.0,0.0,0.0,-68.96,0.0,0.0
Investments sold,Cash from Investing Activity,0.0,2.89,0.0,0.0,0.0,47.02,0.0
Interest received,Cash from Investing Activity,0.62,0.71,0.47,0.23,1.48,4.44,0.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,1.79,0.0,0.0,0.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,-1.1,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,-0.5,-10.64,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,0.09,-0.47,-0.03,0.31,-43.03,48.44,0.0
