,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,36.0,64.0,116.0,-1.0,160.0,176.0,444.0
Cash from Investing Activity,,-70.0,-60.0,-68.0,-301.0,-117.0,-332.0,-125.0
Cash from Financing Activity,,71.0,-56.0,-49.0,470.0,-161.0,101.0,-299.0
Net Cash Flow,,36.0,-52.0,-1.0,169.0,-118.0,-55.0,19.0
Free Cash Flow,,-28.0,10.0,48.0,-247.0,-14.0,-159.0,310.0
CFO/OP,,35.0,41.0,53.0,14.0,51.0,52.0,111.0
Profit from operations,Cash from Operating Activity,232.0,210.0,292.0,335.0,449.0,452.0,447.0
Receivables,Cash from Operating Activity,-2.0,-16.0,-20.0,-23.0,-43.0,2.0,19.0
Inventory,Cash from Operating Activity,-74.0,-80.0,-132.0,-160.0,-196.0,-273.0,-19.0
Payables,Cash from Operating Activity,-30.0,1.0,28.0,-11.0,18.0,61.0,10.0
Loans Advances,Cash from Operating Activity,-3.0,-3.0,-0.0,0.0,-0.0,-0.0,-0.0
Other WC items,Cash from Operating Activity,-44.0,-28.0,-14.0,-94.0,2.0,-6.0,30.0
Working capital changes,Cash from Operating Activity,-153.0,-126.0,-139.0,-287.0,-219.0,-216.0,39.0
Direct taxes,Cash from Operating Activity,-43.0,-20.0,-38.0,-49.0,-70.0,-61.0,-43.0
Fixed assets purchased,Cash from Investing Activity,-69.0,-54.0,-68.0,-247.0,-174.0,-335.0,-134.0
Fixed assets sold,Cash from Investing Activity,5.0,0.0,0.0,0.0,0.0,0.0,1.0
Interest received,Cash from Investing Activity,0.0,0.0,0.0,1.0,10.0,4.0,1.0
Other investing items,Cash from Investing Activity,-6.0,-6.0,-0.0,-55.0,47.0,-1.0,7.0
