,parent_line_item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-5.0,-7.0,-16.0,100.0,142.0
Cash from Investing Activity,,-151.0,-348.0,-424.0,-418.0,-619.0
Cash from Financing Activity,,169.0,439.0,894.0,2.0,244.0
Net Cash Flow,,12.0,84.0,453.0,-316.0,-233.0
Free Cash Flow,,-157.0,-363.0,-444.0,-352.0,-390.0
CFO/OP,,17.0,14.0,1.0,57.0,54.0
Profit from operations,Cash from Operating Activity,174.0,195.0,128.0,235.0,373.0
Receivables,Cash from Operating Activity,-55.0,-96.0,26.0,-56.0,-91.0
Inventory,Cash from Operating Activity,-78.0,-86.0,-95.0,-53.0,-148.0
Payables,Cash from Operating Activity,22.0,12.0,22.0,24.0,69.0
Operating investments,Cash from Operating Activity,5.0,16.0,1.0,0.0,0.0
Other WC items,Cash from Operating Activity,-39.0,-16.0,-82.0,-12.0,-7.0
Working capital changes,Cash from Operating Activity,-145.0,-170.0,-127.0,-97.0,-177.0
Direct taxes,Cash from Operating Activity,-34.0,-32.0,-17.0,-38.0,-54.0
Fixed assets purchased,Cash from Investing Activity,-53.0,-401.0,-248.0,-304.0,-384.0
Capital WIP,Cash from Investing Activity,-99.0,45.0,-179.0,-148.0,-148.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,-91.0
Interest received,Cash from Investing Activity,0.0,0.0,0.0,0.0,4.0
Dividends received,Cash from Investing Activity,1.0,8.0,4.0,34.0,0.0
Other investing items,Cash from Investing Activity,0.0,0.0,0.0,0.0,-0.0
Proceeds from shares,Cash from Financing Activity,103.0,758.0,751.0,1.0,4.0
Proceeds from borrowings,Cash from Financing Activity,77.0,0.0,171.0,14.0,0.0
Repayment of borrowings,Cash from Financing Activity,0.0,-285.0,0.0,-0.0,0.0
Interest paid fin,Cash from Financing Activity,-13.0,-5.0,-7.0,-10.0,-17.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,-3.0,-3.0,-3.0
Other financing items,Cash from Financing Activity,2.0,-29.0,-18.0,-0.0,259.0
