,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,58.0,95.0,44.0,151.0,128.0,183.0,163.0,255.0,223.0,281.0
Cash from Investing Activity,,-57.0,-239.0,-126.0,-12.0,-29.0,-45.0,-66.0,-129.0,-377.0,-298.0
Cash from Financing Activity,,23.0,184.0,57.0,-169.0,-70.0,-154.0,-64.0,-69.0,142.0,33.0
Net Cash Flow,,23.0,40.0,-25.0,-29.0,29.0,-16.0,33.0,57.0,-11.0,17.0
Free Cash Flow,,-30.0,-49.0,-69.0,111.0,97.0,141.0,79.0,117.0,27.0,-38.0
CFO/OP,,67.0,210.0,-74.0,1210.0,68.0,107.0,87.0,103.0,73.0,78.0
Profit from operations,Cash from Operating Activity,108.0,104.0,55.0,45.0,195.0,183.0,233.0,289.0,322.0,492.0
Receivables,Cash from Operating Activity,26.0,-43.0,39.0,34.0,-32.0,-38.0,-28.0,10.0,-93.0,-120.0
Inventory,Cash from Operating Activity,-26.0,-40.0,31.0,-1.0,-64.0,7.0,-35.0,-49.0,-4.0,-177.0
Payables,Cash from Operating Activity,-33.0,97.0,-86.0,74.0,29.0,43.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-3.0,0.0,0.0,0.0,0.0,0.0,30.0,43.0,2.0,172.0
Working capital changes,Cash from Operating Activity,-35.0,14.0,-16.0,107.0,-66.0,12.0,-33.0,4.0,-95.0,-125.0
Direct taxes,Cash from Operating Activity,-15.0,-23.0,4.0,-1.0,-1.0,-13.0,-37.0,-38.0,-4.0,-86.0
Fixed assets purchased,Cash from Investing Activity,-90.0,-146.0,-112.0,-76.0,-32.0,-45.0,-85.0,-143.0,-216.0,-323.0
Fixed assets sold,Cash from Investing Activity,2.0,2.0,0.0,36.0,0.0,3.0,1.0,6.0,20.0,4.0
Investments purchased,Cash from Investing Activity,-134.0,-2.0,-1.0,-2.0,-2.0,-1.0,-3.0,0.0,-124.0,0.0
Investments sold,Cash from Investing Activity,137.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,120.0,0.0
Interest received,Cash from Investing Activity,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,4.0,3.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,26.0,6.0,-18.0,28.0,-7.0,-3.0,11.0,6.0,-180.0,18.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,122.0,0.0,0.0,0.0,48.0,0.0,164.0,109.0
Repayment of borrowings,Cash from Financing Activity,-4.0,0.0,0.0,-115.0,-111.0,-122.0,-87.0,-43.0,0.0,-15.0
Interest paid fin,Cash from Financing Activity,-17.0,-30.0,-54.0,-51.0,-36.0,-26.0,-18.0,-18.0,-13.0,-30.0
Dividends paid,Cash from Financing Activity,-11.0,-11.0,-11.0,-0.0,0.0,0.0,0.0,0.0,0.0,-24.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,-2.0,-3.0,-6.0,-7.0,-8.0,-9.0,-6.0
Other financing items,Cash from Financing Activity,56.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
