,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,103.0,157.0,190.0,229.0
Cash from Investing Activity,,-50.0,-267.0,-84.0,-256.0
Cash from Financing Activity,,-45.0,99.0,-107.0,25.0
Net Cash Flow,,8.0,-11.0,0.0,-1.0
Free Cash Flow,,9.0,-129.0,99.0,56.0
CFO/OP,,100.0,112.0,97.0,95.0
Profit from operations,Cash from Operating Activity,133.0,165.0,251.0,285.0
Receivables,Cash from Operating Activity,-13.0,-13.0,-18.0,-26.0
Inventory,Cash from Operating Activity,-31.0,6.0,-33.0,5.0
Payables,Cash from Operating Activity,10.0,20.0,29.0,4.0
Loans Advances,Cash from Operating Activity,-0.0,-0.0,0.0,0.0
Other WC items,Cash from Operating Activity,30.0,-5.0,5.0,11.0
Working capital changes,Cash from Operating Activity,-5.0,9.0,-17.0,-6.0
Direct taxes,Cash from Operating Activity,-26.0,-18.0,-43.0,-49.0
Fixed assets purchased,Cash from Investing Activity,-95.0,-286.0,-92.0,-174.0
Fixed assets sold,Cash from Investing Activity,1.0,1.0,1.0,1.0
Investments purchased,Cash from Investing Activity,-17.0,0.0,0.0,0.0
Investments sold,Cash from Investing Activity,1.0,6.0,0.0,0.0
Interest received,Cash from Investing Activity,6.0,5.0,4.0,7.0
Other investing items,Cash from Investing Activity,54.0,8.0,3.0,-90.0
Proceeds from borrowings,Cash from Financing Activity,0.0,209.0,0.0,116.0
Repayment of borrowings,Cash from Financing Activity,-32.0,-77.0,-71.0,-36.0
Interest paid fin,Cash from Financing Activity,-11.0,-31.0,-10.0,-7.0
Dividends paid,Cash from Financing Activity,0.0,0.0,-23.0,-45.0
Financial liabilities,Cash from Financing Activity,-2.0,-2.0,-2.0,-3.0
