,parent_line_item,Mar 2025,Mar 2026
Cash from Operating Activity,,0.0,164.0
Cash from Investing Activity,,0.0,-46.0
Cash from Financing Activity,,0.0,-2.0
Net Cash Flow,,0.0,116.0
Free Cash Flow,,0.0,70.0
CFO/OP,,0.0,69.0
Fixed assets purchased,Cash from Investing Activity,0.0,-94.0
Interest received,Cash from Investing Activity,0.0,40.0
Other investing items,Cash from Investing Activity,0.0,8.0
Proceeds from shares,Cash from Financing Activity,0.01,0.0
Interest paid fin,Cash from Financing Activity,0.0,-0.21
Financial liabilities,Cash from Financing Activity,0.0,-1.51
