,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,11.0,33.0,4.0,-602.0
Cash from Investing Activity,,-9.0,-93.0,-26.0,-98.0
Cash from Financing Activity,,3.0,136.0,-35.0,740.0
Net Cash Flow,,5.0,76.0,-58.0,40.0
Free Cash Flow,,-11.0,8.0,-30.0,-704.0
CFO/OP,,34.0,36.0,21.0,-91.0
Profit from operations,Cash from Operating Activity,138.0,249.0,363.0,322.0
Receivables,Cash from Operating Activity,-44.0,71.0,53.0,-349.0
Inventory,Cash from Operating Activity,11.0,-197.0,-104.0,-648.0
Payables,Cash from Operating Activity,-4.0,-6.0,75.0,238.0
Loans Advances,Cash from Operating Activity,2.0,-0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-59.0,-33.0,-308.0,-73.0
Working capital changes,Cash from Operating Activity,-94.0,-165.0,-284.0,-832.0
Direct taxes,Cash from Operating Activity,-33.0,-50.0,-75.0,-92.0
Proceeds from shares,Cash from Financing Activity,2.0,6.0,3.0,1250.0
Proceeds from debentures,Cash from Financing Activity,0.0,0.0,130.0,0.0
Proceeds from borrowings,Cash from Financing Activity,370.0,473.0,44.0,336.0
Repayment of borrowings,Cash from Financing Activity,-343.0,-293.0,-136.0,-0.0
Interest paid fin,Cash from Financing Activity,-26.0,-49.0,-74.0,-88.0
Financial liabilities,Cash from Financing Activity,0.0,-1.0,-3.0,-1.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,-757.0
