,parent_line_item,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Cash from Operating Activity,,188.0,158.0,291.0,350.0,404.0
Cash from Investing Activity,,-35.0,4.0,20.0,19.0,29.0
Cash from Financing Activity,,-121.0,-136.0,-278.0,-263.0,-339.0
Net Cash Flow,,32.0,26.0,33.0,105.0,94.0
Free Cash Flow,,147.0,128.0,248.0,316.0,373.0
CFO/OP,,142.0,110.0,136.0,141.0,111.0
Profit from operations,Cash from Operating Activity,212.0,191.0,306.0,356.0,506.0
Receivables,Cash from Operating Activity,11.0,-3.0,0.0,-2.0,1.0
Inventory,Cash from Operating Activity,3.0,-4.0,6.0,-3.0,-21.0
Payables,Cash from Operating Activity,40.0,48.0,23.0,46.0,5.0
Loans Advances,Cash from Operating Activity,-10.0,-12.0,5.0,8.0,-7.0
Working capital changes,Cash from Operating Activity,44.0,29.0,34.0,50.0,-22.0
Direct taxes,Cash from Operating Activity,-69.0,-62.0,-49.0,-56.0,-80.0
Fixed assets purchased,Cash from Investing Activity,-50.15,-38.46,-45.19,-37.13,-35.83
Fixed assets sold,Cash from Investing Activity,9.38,9.11,1.84,3.49,4.5
Investments sold,Cash from Investing Activity,4.87,15.0,65.0,30.71,15.0
Interest received,Cash from Investing Activity,15.99,17.26,22.42,24.84,23.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,-6.31,-1.65,-3.09
Inter corporate deposits,Cash from Investing Activity,-15.46,1.1,-28.15,2.2,25.5
Other investing items,Cash from Investing Activity,0.0,0.0,10.44,-3.38,0.0
