,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,,192.0,-237.0,31.0,224.0,-410.0,256.0,1021.0,152.0,638.0,280.0,140.0
Cash from Investing Activity,,-9.0,-4.0,75.0,-3.0,416.0,289.0,-854.0,-158.0,-765.0,213.0,-282.0
Cash from Financing Activity,,-181.0,224.0,-94.0,-207.0,-45.0,-504.0,-36.0,8.0,-5.0,-107.0,-75.0
Net Cash Flow,,2.0,-17.0,12.0,14.0,-40.0,42.0,130.0,3.0,-132.0,386.0,-217.0
Free Cash Flow,,182.0,-241.0,24.0,215.0,0.0,1186.0,988.0,88.0,556.0,126.0,-13.0
CFO/OP,,-110.0,107.0,69.0,133.0,-4256.0,92.0,184.0,24.0,84.0,78.0,147.0
Profit from operations,Cash from Operating Activity,-134.0,-266.0,64.0,215.0,31.0,293.0,552.0,618.0,958.0,327.0,100.0
Receivables,Cash from Operating Activity,-1.0,-1.0,-102.0,137.0,-45.0,14.0,282.0,-72.0,-304.0,138.0,-126.0
Inventory,Cash from Operating Activity,67.0,161.0,-54.0,-50.0,-169.0,89.0,47.0,-148.0,-340.0,-158.0,197.0
Payables,Cash from Operating Activity,200.0,-147.0,-461.0,102.0,-4.0,-208.0,163.0,204.0,-200.0,106.0,8.0
Loans Advances,Cash from Operating Activity,-16.0,-34.0,243.0,-0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating borrowings,Cash from Operating Activity,0.0,0.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,68.0,38.0,-250.0,-180.0,-219.0,67.0,-29.0,-455.0,528.0,-132.0,-40.0
Working capital changes,Cash from Operating Activity,317.0,17.0,-32.0,8.0,-441.0,-37.0,463.0,-472.0,-317.0,-47.0,39.0
Direct taxes,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0
Other operating items,Cash from Operating Activity,9.0,12.0,0.0,0.0,0.0,0.0,-0.0,-1.0,-4.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-37.0,-608.0,0.0,-124.0,-4.0,-453.0,-30.0,0.0,0.0,-34.0,-5.0
Interest paid fin,Cash from Financing Activity,-138.0,-176.0,-94.0,-82.0,-42.0,-50.0,-6.0,-6.0,-9.0,-5.0,-4.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,-63.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0
Other financing items,Cash from Financing Activity,-5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
