,parent_line_item,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,601.0,296.0,465.0,508.0,556.0,539.0,1246.0,470.0,890.0,1413.0,1004.0,1225.0
Cash from Investing Activity,,-186.0,-218.0,-202.0,-267.0,-240.0,-196.0,-199.0,-403.0,-345.0,-591.0,-798.0,-1024.0
Cash from Financing Activity,,-260.0,-234.0,-210.0,-284.0,-316.0,-156.0,-506.0,-310.0,-327.0,-382.0,-440.0,-496.0
Net Cash Flow,,155.0,-155.0,52.0,-43.0,0.0,188.0,542.0,-243.0,219.0,441.0,-234.0,-295.0
Free Cash Flow,,407.0,65.0,255.0,226.0,230.0,300.0,1025.0,4.0,469.0,866.0,116.0,416.0
CFO/OP,,112.0,91.0,83.0,92.0,103.0,84.0,115.0,61.0,94.0,112.0,91.0,95.0
Profit from operations,Cash from Operating Activity,666.0,459.0,759.0,782.0,780.0,866.0,1283.0,1251.0,1206.0,1557.0,1405.0,1557.0
Receivables,Cash from Operating Activity,-16.0,2.0,-39.0,-107.0,-6.0,63.0,-79.0,-77.0,-27.0,-20.0,-29.0,60.0
Inventory,Cash from Operating Activity,33.0,-95.0,-220.0,79.0,-53.0,-140.0,130.0,-499.0,-125.0,29.0,25.0,-240.0
Payables,Cash from Operating Activity,59.0,45.0,112.0,39.0,82.0,-19.0,104.0,142.0,108.0,121.0,-92.0,128.0
Loans Advances,Cash from Operating Activity,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Deposits,Cash from Operating Activity,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,0.0,13.0,23.0,-69.0,9.0,-68.0,41.0,-60.0,-33.0,50.0,-4.0,-32.0
Working capital changes,Cash from Operating Activity,77.0,-37.0,-124.0,-58.0,32.0,-165.0,196.0,-494.0,-78.0,180.0,-99.0,-83.0
Direct taxes,Cash from Operating Activity,-142.0,-125.0,-171.0,-217.0,-256.0,-162.0,-232.0,-287.0,-237.0,-323.0,-302.0,-249.0
Fixed assets purchased,Cash from Investing Activity,-198.0,-233.0,-213.0,-285.0,-347.0,-242.0,-227.0,-470.0,-424.0,-549.0,-890.0,-815.0
Fixed assets sold,Cash from Investing Activity,4.0,1.0,3.0,3.0,21.0,2.0,6.0,4.0,2.0,3.0,3.0,7.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,-1049.0,-1749.0,-2069.0,-2266.0,-2566.0,-3724.0,-4634.0,-6090.0
Investments sold,Cash from Investing Activity,1.0,2.0,2.0,1.0,1143.0,1775.0,2077.0,2279.0,2585.0,3748.0,4673.0,6127.0
Interest received,Cash from Investing Activity,2.0,3.0,3.0,2.0,5.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0
Dividends received,Cash from Investing Activity,4.0,9.0,3.0,13.0,13.0,17.0,12.0,48.0,52.0,52.0,55.0,58.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,-2.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,5.0,-121.0,-7.0,-312.0
