,parent_line_item,Mar 2015,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity,,322.0,680.0,304.0,512.0,708.0,1027.0,539.0,1051.0,1118.0,1383.0,881.0,1258.0
Cash from Investing Activity,,-184.0,-225.0,-831.0,-303.0,-1017.0,-589.0,-422.0,-762.0,-637.0,-905.0,-237.0,-802.0
Cash from Financing Activity,,-294.0,-494.0,575.0,-236.0,362.0,-404.0,-38.0,-363.0,-488.0,-427.0,-553.0,-526.0
Net Cash Flow,,-155.0,-39.0,48.0,-26.0,53.0,34.0,80.0,-74.0,-6.0,51.0,91.0,-70.0
Free Cash Flow,,115.0,479.0,106.0,212.0,304.0,613.0,238.0,573.0,675.0,871.0,500.0,885.0
CFO/OP,,78.0,194.0,68.0,77.0,85.0,118.0,118.0,123.0,112.0,122.0,85.0,112.0
Profit from operations,Cash from Operating Activity,453.0,320.0,551.0,839.0,1029.0,988.0,514.0,1020.0,1326.0,1772.0,1379.0,1371.0
Receivables,Cash from Operating Activity,105.0,-18.0,-156.0,-277.0,-162.0,340.0,23.0,34.0,-284.0,230.0,3.0,19.0
Inventory,Cash from Operating Activity,53.0,-34.0,-11.0,-127.0,-275.0,249.0,134.0,-340.0,-180.0,53.0,57.0,56.0
Payables,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,427.0,-201.0,-353.0,134.0
Other WC items,Cash from Operating Activity,-268.0,437.0,-21.0,185.0,260.0,-433.0,-81.0,-38.0,27.0,-113.0,58.0,-60.0
Working capital changes,Cash from Operating Activity,-110.0,386.0,-188.0,-219.0,-177.0,156.0,76.0,136.0,-10.0,-31.0,-236.0,150.0
Direct taxes,Cash from Operating Activity,-21.0,-26.0,-59.0,-108.0,-144.0,-116.0,-50.0,-105.0,-198.0,-358.0,-262.0,-263.0
Fixed assets purchased,Cash from Investing Activity,-215.0,-207.0,-216.0,-310.0,-410.0,-424.0,-334.0,-527.0,-501.0,-530.0,-387.0,-377.0
Fixed assets sold,Cash from Investing Activity,7.0,6.0,18.0,11.0,7.0,10.0,33.0,49.0,58.0,18.0,6.0,5.0
Investments purchased,Cash from Investing Activity,-316.0,-310.0,0.0,-18.0,-620.0,0.0,-138.0,-188.0,-127.0,-221.0,-168.0,-368.0
Investments sold,Cash from Investing Activity,329.0,280.0,28.0,0.0,0.0,591.0,5.0,2.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,10.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,13.0,38.0,16.0,22.0
Dividends received,Cash from Investing Activity,0.0,5.0,11.0,10.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,-672.0,0.0,0.0,-785.0,-1.0,-15.0,-5.0,-7.0,-5.0,-2.0
Other investing items,Cash from Investing Activity,0.0,0.0,0.0,6.0,2.0,1.0,8.0,-89.0,-74.0,-202.0,301.0,-82.0
Proceeds from shares,Cash from Financing Activity,9.0,3.0,452.0,7.0,6.0,3.0,0.0,1.0,4.0,1.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,409.0,0.0,51.0,0.0,88.0,40.0,326.0,63.0
Repayment of borrowings,Cash from Financing Activity,-180.0,0.0,0.0,0.0,0.0,-354.0,0.0,-279.0,-394.0,-248.0,-594.0,-274.0
Interest paid fin,Cash from Financing Activity,-122.0,-34.0,-59.0,-54.0,-52.0,-52.0,-48.0,-46.0,-38.0,-107.0,-78.0,-28.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.0,-95.0,-189.0,-264.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-41.0,-38.0,-53.0,-17.0,-18.0,-22.0
Other financing items,Cash from Financing Activity,0.0,-463.0,182.0,-188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
