,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,65.0,-41.0,362.0,49.0,141.0,-26.0,-8.0,60.0,67.0
Cash from Investing Activity,,-168.0,-170.0,-306.0,-105.0,-153.0,-5.0,-63.0,-637.0,-293.0
Cash from Financing Activity,,82.0,195.0,-52.0,174.0,-63.0,-10.0,79.0,572.0,307.0
Net Cash Flow,,-21.0,-17.0,3.0,117.0,-76.0,-42.0,8.0,-5.0,81.0
Free Cash Flow,,-102.0,-163.0,66.0,-53.0,-8.0,-97.0,-8.0,56.0,65.0
CFO/OP,,513.0,-52.0,423.0,54.0,177.0,-56.0,-5.0,103.0,344.0
Profit from operations,Cash from Operating Activity,25.0,43.0,124.0,101.0,57.0,63.0,68.0,100.0,65.0
Receivables,Cash from Operating Activity,134.0,86.0,-82.0,-18.0,135.0,-27.0,-52.0,-76.0,-34.0
Inventory,Cash from Operating Activity,71.0,-135.0,54.0,6.0,306.0,-10.0,-22.0,-27.0,-4.0
Payables,Cash from Operating Activity,-41.0,28.0,34.0,117.0,-390.0,29.0,-53.0,11.0,46.0
Loans Advances,Cash from Operating Activity,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-112.0,-65.0,244.0,-172.0,37.0,-88.0,55.0,45.0,6.0
Working capital changes,Cash from Operating Activity,54.0,-86.0,250.0,-67.0,89.0,-95.0,-72.0,-47.0,14.0
Direct taxes,Cash from Operating Activity,-14.0,1.0,-12.0,14.0,-4.0,6.0,-4.0,7.0,-13.0
Fixed assets purchased,Cash from Investing Activity,-167.0,-122.0,-296.0,-102.0,-150.0,-70.0,-1.0,-4.0,-2.0
Investments purchased,Cash from Investing Activity,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1133.0,-917.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,3.0,0.0,0.0,49.0,697.0,938.0
Interest received,Cash from Investing Activity,2.0,5.0,2.0,2.0,20.0,6.0,32.0,12.0,30.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,3.0,33.0,0.0,41.0,0.0
Acquisition of companies,Cash from Investing Activity,-0.0,-70.0,0.0,-7.0,0.0,0.0,-110.0,0.0,0.0
Inter corporate deposits,Cash from Investing Activity,-0.0,-0.0,-7.0,-2.0,32.0,5.0,-74.0,-214.0,32.0
Other investing items,Cash from Investing Activity,-3.0,19.0,-5.0,1.0,-58.0,22.0,40.0,-36.0,-375.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,370.0,0.0,440.0,375.0
Proceeds from borrowings,Cash from Financing Activity,399.0,439.0,192.0,533.0,303.0,32.0,208.0,0.0,14.0
Repayment of borrowings,Cash from Financing Activity,-254.0,-156.0,-140.0,-247.0,-223.0,-341.0,-104.0,-93.0,-5.0
Proceeds from deposits,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0
Interest paid fin,Cash from Financing Activity,-63.0,-88.0,-104.0,-113.0,-144.0,-71.0,-26.0,-26.0,-12.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,-65.0
