,parent_line_item,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,177.0,204.0,345.0
Cash from Investing Activity,,-129.0,-149.0,-248.0
Cash from Financing Activity,,-28.0,-81.0,-19.0
Net Cash Flow,,20.0,-26.0,78.0
Free Cash Flow,,16.0,-0.0,108.0
CFO/OP,,84.0,73.0,97.0
Profit from operations,Cash from Operating Activity,295.0,416.0,437.0
Receivables,Cash from Operating Activity,-108.0,-110.0,-76.0
Inventory,Cash from Operating Activity,-77.0,-62.0,-45.0
Payables,Cash from Operating Activity,147.0,37.0,104.0
Other WC items,Cash from Operating Activity,-12.0,4.0,3.0
Working capital changes,Cash from Operating Activity,-50.0,-132.0,-14.0
Direct taxes,Cash from Operating Activity,-69.0,-80.0,-78.0
Fixed assets purchased,Cash from Investing Activity,-163.0,-209.0,-240.0
Fixed assets sold,Cash from Investing Activity,2.0,5.0,3.0
Investments purchased,Cash from Investing Activity,-19.0,-1.0,-78.0
Investments sold,Cash from Investing Activity,0.0,68.0,0.0
Interest received,Cash from Investing Activity,13.0,17.0,9.0
Other investing items,Cash from Investing Activity,39.0,-29.0,58.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,15.0
Proceeds from borrowings,Cash from Financing Activity,25.0,20.0,321.0
Repayment of borrowings,Cash from Financing Activity,0.0,-25.0,-261.0
Interest paid fin,Cash from Financing Activity,-5.0,-10.0,-14.0
Dividends paid,Cash from Financing Activity,-45.0,-61.0,-70.0
Financial liabilities,Cash from Financing Activity,-3.0,-5.0,-10.0
