,parent_line_item,Mar 2021,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,42.0,8.0,-11.0,46.0
Cash from Investing Activity,,-9.0,-80.0,45.0,28.0
Cash from Financing Activity,,-33.0,99.0,-1.0,35.0
Net Cash Flow,,0.0,27.0,32.0,110.0
Free Cash Flow,,38.0,-17.0,-31.0,21.0
CFO/OP,,125.0,41.0,5.0,67.0
Profit from operations,Cash from Operating Activity,36.0,51.0,45.0,115.0
Receivables,Cash from Operating Activity,18.0,-22.0,-21.0,-45.0
Inventory,Cash from Operating Activity,3.0,3.0,-26.0,-28.0
Payables,Cash from Operating Activity,-12.0,-9.0,1.0,29.0
Loans Advances,Cash from Operating Activity,-1.0,0.0,-0.0,0.0
Other WC items,Cash from Operating Activity,8.0,-3.0,2.0,6.0
Working capital changes,Cash from Operating Activity,15.0,-30.0,-43.0,-37.0
Direct taxes,Cash from Operating Activity,-9.0,-13.0,-13.0,-32.0
Proceeds from shares,Cash from Financing Activity,0.0,2.2,0.01,0.33
Proceeds from borrowings,Cash from Financing Activity,0.0,6.08,0.58,38.58
Repayment of borrowings,Cash from Financing Activity,-31.3,0.0,0.0,-0.25
Interest paid fin,Cash from Financing Activity,-0.39,-1.81,-2.05,-1.94
Dividends paid,Cash from Financing Activity,-1.33,-4.0,0.0,0.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,-1.42
Other financing items,Cash from Financing Activity,0.0,96.31,0.0,0.0
