,parent_line_item,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Cash from Operating Activity,,173.0,348.0,250.0,230.0,,,,,,
Cash from Investing Activity,,-48.0,-123.0,-209.0,-150.0,,,,,,
Cash from Financing Activity,,-62.0,-110.0,-104.0,-79.0,,,,,,
Net Cash Flow,,63.0,115.0,-63.0,1.0,,,,,,
Free Cash Flow,,96.0,258.0,134.0,52.0,,,,,,
CFO/OP,,63.0,120.0,81.0,69.0,,,,,,
Profit from operations,Cash from Operating Activity,,,,,,,306.0,359.0,345.0,315.0
Other WC items,Cash from Operating Activity,,,,,,,-94.0,33.0,3.0,-57.0
Working capital changes,Cash from Operating Activity,,,,,,,-94.0,33.0,3.0,-57.0
Direct taxes,Cash from Operating Activity,,,,,,,-38.0,-45.0,0.0,0.0
Advance tax,Cash from Operating Activity,,,,,,,0.0,0.0,-48.0,-31.0
Other operating items,Cash from Operating Activity,,,,,,,0.0,0.0,-50.0,2.0
Fixed assets purchased,Cash from Investing Activity,,,,,,,-77.0,-89.0,-116.0,-177.0
Investments sold,Cash from Investing Activity,,,,,,,7.0,0.0,1.0,1.0
Interest received,Cash from Investing Activity,,,,,,,28.0,16.0,37.0,19.0
Redemp n Canc of Shares,Cash from Investing Activity,,,,,,,1.0,2.0,3.0,1.0
Other investing items,Cash from Investing Activity,,,,,,,-7.0,-51.0,-133.0,6.0
Dividends paid,Cash from Financing Activity,,,,,,,-46.0,-100.0,-95.0,-69.0
Financial liabilities,Cash from Financing Activity,,,,,,,-7.0,-9.0,-9.0,-10.0
Other financing items,Cash from Financing Activity,,,,,,,-10.0,0.0,0.0,0.0
