,parent_line_item,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,200.0,168.0,220.0
Cash from Investing Activity,,-111.0,-113.0,-374.0
Cash from Financing Activity,,-32.0,-34.0,243.0
Net Cash Flow,,57.0,21.0,90.0
Free Cash Flow,,84.0,53.0,59.0
CFO/OP,,91.0,67.0,81.0
Profit from operations,Cash from Operating Activity,304.0,368.0,383.0
Receivables,Cash from Operating Activity,-7.0,-74.0,-37.0
Inventory,Cash from Operating Activity,-24.0,5.0,-36.0
Payables,Cash from Operating Activity,21.0,-37.0,16.0
Other WC items,Cash from Operating Activity,-29.0,-21.0,-19.0
Working capital changes,Cash from Operating Activity,-39.0,-127.0,-77.0
Direct taxes,Cash from Operating Activity,-65.0,-73.0,-86.0
Fixed assets purchased,Cash from Investing Activity,-116.0,-117.0,-161.0
Fixed assets sold,Cash from Investing Activity,0.0,2.0,0.0
Investments purchased,Cash from Investing Activity,0.0,0.0,-4.0
Investments sold,Cash from Investing Activity,1.0,0.0,0.0
Interest received,Cash from Investing Activity,5.0,5.0,12.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,-21.0
Other investing items,Cash from Investing Activity,-2.0,-3.0,-201.0
Proceeds from borrowings,Cash from Financing Activity,67.0,78.0,92.0
Repayment of borrowings,Cash from Financing Activity,-29.0,-46.0,-369.0
Interest paid fin,Cash from Financing Activity,-34.0,-35.0,-19.0
Dividends paid,Cash from Financing Activity,-26.0,-19.0,-17.0
Financial liabilities,Cash from Financing Activity,-10.0,-12.0,-14.0
Other financing items,Cash from Financing Activity,0.0,0.0,571.0
